cell_id,topology,regime,scale,repetitions,seed,correlated_mean,proxy_mean,normalized_correlated_mean,normalized_proxy_mean,mean_difference,paired_sd,paired_standard_error,simultaneous_multiplier,half_width,ci_low,ci_high,point_sign,resolved_sign,paired_standardized_effect,relative_mean_difference,q10_difference,q50_difference,q90_difference,nonidentical_fraction
chain-negative-N40,chain,negative,40,30000,20260718022,1472.7804333333333,1307.6176333333333,0.9204877708333333,0.8172610208333333,0.10322674999999999,0.656436829860992,0.0037899398042622835,3.1969502291312546,0.01211624892562997,0.09111050107437002,0.11534299892562996,positive,positive,0.15725313587578477,0.12630817739813796,0.016249999999999987,0.08687500000000004,0.20443750000000138,0.9991333333333333
chain-negative-N80,chain,negative,80,30000,20260718023,5919.5997333333335,5232.7696,0.9249374583333333,0.81762025,0.10731720833333332,0.6588565628531038,0.003803910139205911,3.1969502291312546,0.012160911391129039,0.09515629694220427,0.11947811972446236,positive,positive,0.16288402420795248,0.13125556556767437,0.01939062499999994,0.09671875000000008,0.20828124999999997,0.9998666666666667
star-balanced-N10,star,balanced,10,30000,20260718100,108.1573,105.14416666666666,1.0815730000000001,1.0514416666666668,0.030131333333333336,0.7648956823853301,0.004416127281271528,3.1969502291312546,0.014118139123733798,0.01601319420959954,0.04424947245706713,positive,positive,0.039392735541882856,0.028657161199305715,0.0,0.020000000000000018,0.08000000000000007,0.9922
star-balanced-N20,star,balanced,20,30000,20260718101,431.5848,422.6945333333333,1.078962,1.0567363333333333,0.022225666666666664,0.7713317278657538,0.004453285807177921,3.1969502291312546,0.014236933081644419,0.007988733585022246,0.036462599748311085,positive,positive,0.028814666716957513,0.021032367266637625,0.002250000000000252,0.020000000000000018,0.0475000000000001,0.9977666666666667
star-balanced-N40,star,balanced,40,30000,20260718102,1736.0485666666666,1700.6312,1.0850303541666666,1.0628945,0.02213585416666667,0.7733159541037082,0.004464741742704083,3.1969502291312546,0.014273557137349693,0.007862297029316977,0.03640941130401636,positive,positive,0.028624592637976357,0.02082601252209572,0.0006249999999999867,0.013437499999999991,0.05625000000000013,0.9995333333333334
star-balanced-N80,star,balanced,80,30000,20260718103,6882.485466666667,6781.880666666667,1.0753883541666667,1.0596688541666666,0.0157195,0.7661404253442935,0.004423313808095823,3.1969502291312546,0.014141114092311382,0.0015783859076886186,0.02986061409231138,positive,positive,0.02051777909113184,0.014834351258122012,0.0014062500000000533,0.011406250000000062,0.03890625000000014,0.9999
star-positive-N10,star,positive,10,30000,20260718110,108.3638,105.28276666666666,1.0836379999999999,1.0528276666666665,0.030810333333333332,0.7664612680727824,0.0044251661944524285,3.1969502291312546,0.014147036079298573,0.01666329725403476,0.044957369412631905,positive,positive,0.0401981608422353,0.02926436520316874,0.0,0.020000000000000018,0.08000000000000007,0.9924666666666667
star-positive-N20,star,positive,20,30000,20260718111,430.85633333333334,421.6000666666667,1.0771408333333332,1.0540001666666667,0.023140666666666667,0.7628058085469333,0.00440406138903982,3.1969502291312546,0.014079565066798964,0.009061101599867703,0.03722023173346563,positive,positive,0.030336248632856194,0.021955088242395913,0.0025000000000000022,0.01750000000000007,0.05974999999999464,0.9981333333333333
star-positive-N40,star,positive,40,30000,20260718112,1731.4722,1687.8608666666667,1.082170125,1.0549130416666666,0.027257083333333338,0.7620975554710302,0.004399972287999551,3.1969502291312546,0.014066492414291334,0.013190590919042004,0.04132357574762467,positive,positive,0.035765871623202536,0.025838227661182035,0.0012499999999999734,0.015625,0.06368749999999856,0.9993333333333333
star-positive-N80,star,positive,80,30000,20260718113,6903.8597666666665,6786.684833333334,1.0787280885416668,1.0604195052083334,0.018308583333333336,0.7593260605862951,0.004383971054821956,3.1969502291312546,0.014015337268217841,0.004293246065115495,0.032323920601551176,positive,positive,0.024111622507986635,0.017265415473224792,0.0014062499999999978,0.007656250000000142,0.061968749999998574,0.9997666666666667
star-negative-N10,star,negative,10,30000,20260718120,108.15053333333333,105.7699,1.0815053333333333,1.057699,0.023806333333333332,0.7639789944472868,0.004410834780993606,3.1969502291312546,0.014101219263757616,0.009705114069575716,0.03790755259709095,positive,positive,0.031160978909579074,0.022507663648479705,-0.010000000000000009,0.020000000000000018,0.06000000000000005,0.9928333333333333
star-negative-N20,star,negative,20,30000,20260718121,431.1822,421.92293333333333,1.0779554999999998,1.0548073333333334,0.023148166666666664,0.7674536420634124,0.004430895668358698,3.1969502291312546,0.014165352922216023,0.008982813744450641,0.03731351958888269,positive,positive,0.030162299581287282,0.0219453979273308,0.007500000000000007,0.015000000000000013,0.0475000000000001,0.9982666666666666
star-negative-N40,star,negative,40,30000,20260718122,1730.1720666666668,1685.0315666666668,1.0813575416666668,1.0531447291666667,0.028212812500000004,0.7622735738517092,0.004400988530594225,3.1969502291312546,0.014069741291287229,0.014143071208712775,0.04228255379128723,positive,positive,0.03701140045750616,0.026789112378052978,0.00187499999999996,0.01749999999999996,0.07818750000000141,0.9995
star-negative-N80,star,negative,80,30000,20260718123,6942.4538,6766.735866666667,1.08475840625,1.0573024791666668,0.027455927083333335,0.7687175099508682,0.004438192613009126,3.1969502291312546,0.014188680891088165,0.01326724619224517,0.0416446079744215,positive,positive,0.03571653660534954,0.025967901924313325,-0.0017187499999999911,0.01781250000000001,0.07579687500000043,0.9998666666666667
random-balanced-N10,random,balanced,10,30000,20260718200,92.01476666666667,81.34413333333333,0.9201476666666667,0.8134413333333332,0.10670633333333333,0.6550133763346578,0.0037817214914962036,3.1969502291312546,0.012089975388749378,0.09461635794458395,0.11879630872208272,positive,positive,0.16290710569980055,0.13117889263884633,0.020000000000000018,0.09000000000000008,0.2200000000000002,0.9900666666666667
random-balanced-N20,random,balanced,20,30000,20260718201,369.73603333333335,327.5335666666667,0.9243400833333333,0.8188339166666666,0.10550616666666665,0.6578120588502447,0.0037978796925337076,3.1969502291312546,0.012141632353258575,0.09336453431340808,0.11764779901992523,positive,positive,0.1603895295733486,0.12884928740636964,0.020000000000000018,0.08750000000000002,0.21250000000000013,0.9974
random-balanced-N40,random,balanced,40,30000,20260718202,1475.543,1311.1793333333333,0.922214375,0.8194870833333333,0.10272729166666666,0.662087825307964,0.0038225658416872694,3.1969502291312546,0.012220552743451423,0.09050673892321524,0.11494784441011809,positive,positive,0.15515659364206558,0.12535559590373857,0.017500000000000016,0.08562500000000006,0.2081249999999999,0.9993666666666666
random-balanced-N80,random,balanced,80,30000,20260718203,5869.3179,5228.993466666667,0.9170809218749999,0.8170302291666667,0.10005069270833333,0.6528311363872568,0.00376912232328552,3.1969502291312546,0.01204969647505137,0.08800099623328196,0.1121003891833847,positive,positive,0.15325661895051476,0.1224565372695946,0.013921874999999972,0.08156249999999998,0.20673437500000036,0.9997333333333334
random-positive-N10,random,positive,10,30000,20260718210,91.5427,81.9331,0.915427,0.819331,0.096096,0.6546067133139082,0.0037793736214512107,3.1969502291312546,0.012082469365071067,0.08401353063492893,0.10817846936507107,positive,positive,0.14679959439083604,0.1172859320592044,0.020000000000000018,0.08000000000000007,0.19000000000000017,0.9909666666666667
random-positive-N20,random,positive,20,30000,20260718211,369.4156,325.2721,0.9235389999999999,0.81318025,0.11035874999999999,0.6557860595132882,0.0037861825799080087,3.1969502291312546,0.012104237266369673,0.09825451273363031,0.12246298726636967,positive,positive,0.16828468430985882,0.1357125311393138,0.017500000000000016,0.09249999999999992,0.21750000000000003,0.9971666666666666
random-positive-N40,random,positive,40,30000,20260718212,1474.3144333333332,1306.4254666666666,0.9214465208333332,0.8165159166666667,0.10493060416666668,0.6534664428692093,0.003772790266969252,3.1969502291312546,0.012061422708451518,0.09286918145821516,0.1169920268751182,positive,positive,0.16057535212664079,0.12851017601106166,0.01687500000000003,0.08781249999999996,0.224375,0.9992666666666666
random-positive-N80,random,positive,80,30000,20260718213,5889.726166666666,5213.4686,0.9202697135416668,0.8146044687499999,0.10566524479166665,0.6578260294579734,0.0037979603518750365,3.1969502291312546,0.012141890217158318,0.09352335457450833,0.11780713500882498,positive,positive,0.16062794729897092,0.1297135589666094,0.01749999999999996,0.08250000000000002,0.22473437500000104,0.9996666666666667
random-negative-N10,random,negative,10,30000,20260718220,92.0115,81.83376666666666,0.9201150000000001,0.8183376666666669,0.10177733333333332,0.6527907415688161,0.0037688891036925143,3.1969502291312546,0.012048950883620072,0.08972838244971325,0.11382628421695339,positive,positive,0.15591111646090053,0.12437082817891387,0.020000000000000018,0.08000000000000007,0.2100000000000002,0.9910666666666667
random-negative-N20,random,negative,20,30000,20260718221,366.6094,327.0003,0.9165235,0.8175007500000001,0.09902275,0.6520072937151901,0.003764365865400644,3.1969502291312546,0.012034490315926462,0.08698825968407355,0.11105724031592647,positive,positive,0.15187368447331379,0.1211286350501819,0.020000000000000018,0.08999999999999997,0.2024999999999999,0.9976666666666667
random-negative-N40,random,negative,40,30000,20260718222,1474.3549333333333,1307.6121333333333,0.9214718333333333,0.8172575833333333,0.10421425000000001,0.6637540765852794,0.0038321859479222256,3.1969502291312546,0.012251307744283534,0.09196294225571647,0.11646555774428355,positive,positive,0.15700732195293796,0.12751701804337293,0.020625000000000004,0.08437499999999998,0.21006250000000137,0.9993
random-negative-N80,random,negative,80,30000,20260718223,5925.9687,5221.159766666667,0.9259326093750002,0.8158062135416666,0.11012639583333333,0.6644316343081107,0.003836097829258907,3.1969502291312546,0.012263813834219171,0.09786258199911416,0.12239020966755251,positive,positive,0.1657452627884142,0.13499087651617736,0.022171875000000008,0.09015624999999994,0.22315625000000083,0.9999
