anchor_id,block_index,slope
2022-05-31-primary,15,-0.03468736323851204
2022-05-31-primary,16,-0.07151230853391685
2022-05-31-primary,17,-0.05278063457330416
2022-05-31-primary,18,-0.08097401531728668
2022-05-31-primary,19,-0.08333315098468272
2022-05-31-primary,20,-0.06151996717724288
2022-05-31-primary,21,-0.052621717724288836
2022-05-31-primary,22,-0.058491247264770244
2022-05-31-primary,23,-0.10816575492341357
2022-05-31-primary,24,-0.07193107221006564
2022-05-31-primary,25,-0.007945842450765859
2022-05-31-primary,26,-0.04489879649890592
2022-05-31-primary,27,-0.011765043763676167
2022-05-31-primary,28,-0.10667396061269148
2022-05-31-primary,29,-0.03718490153172867
2022-05-31-primary,30,-0.08586734135667395
2022-05-31-primary,31,-0.0126515317286652
2022-05-31-primary,32,0.013706783369803067
2022-05-31-primary,33,-0.06421553610503282
2022-05-31-primary,34,-0.07003966083150985
2022-05-31-primary,35,-0.07601559080962803
2022-05-31-primary,36,-0.05030743982494531
2022-05-31-primary,37,-0.049935448577680515
2022-05-31-primary,38,-0.11216903719912472
2022-05-31-primary,39,-0.07136980306345733
2022-05-31-hub,0,-0.03151668490153173
2022-05-31-hub,1,0.010025164113785557
2022-05-31-hub,2,-0.01430032822757112
2022-05-31-hub,3,-0.007125547045951856
2022-05-31-hub,4,0.0013837527352297575
2022-05-31-hub,5,-0.023248632385120333
2022-05-31-hub,6,-0.05984354485776806
2022-05-31-hub,7,-0.0065905361050328255
2022-05-31-hub,8,-0.05700629102844639
2022-05-31-hub,9,-0.07018353391684903
2022-05-31-hub,10,-0.04162335886214444
2022-05-31-hub,11,-0.05276012035010941
2022-05-31-hub,12,0.01312417943107221
2022-05-31-hub,13,-0.03863347921225384
2022-05-31-hub,14,-0.08404157549234137
2022-05-31-hub,15,-0.04411843544857768
2022-05-31-hub,16,0.024214442013129098
2022-05-31-hub,17,-0.072675875273523
2022-05-31-hub,18,-0.03690043763676149
2022-05-31-hub,19,0.03873003282275711
2022-05-31-hub,20,-0.029134026258205683
2022-05-31-hub,21,-0.047838074398249456
2022-05-31-hub,22,-0.0460601750547046
2022-05-31-hub,23,-0.03383369803063458
2022-05-31-hub,24,-0.02298769146608316
2022-05-31-hub,25,-0.016404814004376368
2022-05-31-hub,26,-0.011700765864332602
2022-05-31-hub,27,-0.01785886214442013
2022-05-31-hub,28,-0.01513293216630197
2022-05-31-hub,29,-0.053346006564551435
2022-05-31-hub,30,0.021358862144420124
2022-05-31-hub,31,-0.084542943107221
2022-05-31-hub,32,-0.044509299781181615
2022-05-31-hub,33,-0.022635393873085344
2022-05-31-hub,34,-0.011437636761487971
2022-05-31-hub,35,0.027778172866520782
2022-05-31-hub,36,-0.06631892778993437
2022-05-31-hub,37,-0.020679704595185998
2022-05-31-hub,38,-0.003900164113785554
2022-05-31-hub,39,-0.05907467177242889
2023-07-16-primary,0,0.028409190371991258
2023-07-16-primary,1,0.0013574945295404782
2023-07-16-primary,2,-0.0020399343544857916
2023-07-16-primary,3,-0.025525437636761496
2023-07-16-primary,4,-0.08222100656455142
2023-07-16-primary,5,-0.012724562363238497
2023-07-16-primary,6,-0.03985147702407001
2023-07-16-primary,7,-0.039026531728665215
2023-07-16-primary,8,-0.06146033916849014
2023-07-16-primary,9,-0.0027382385120350156
2023-07-16-primary,10,-0.04168927789934355
2023-07-16-primary,11,-0.0048810175054704655
2023-07-16-primary,12,0.008135120350109416
2023-07-16-primary,13,-0.09198687089715538
2023-07-16-primary,14,-0.10021799781181623
2023-07-16-primary,15,-0.07135284463894967
2023-07-16-primary,16,0.014079048140043762
2023-07-16-primary,17,-0.07040563457330415
2023-07-16-primary,18,-0.14177407002188186
2023-07-16-primary,19,-0.053222647702407
2023-07-16-primary,20,-0.00368900437636763
2023-07-16-primary,21,-0.017003282275711153
2023-07-16-primary,22,-0.10714934354485778
2023-07-16-primary,23,0.011299781181619256
2023-07-16-primary,24,-0.05829950765864332
2023-07-16-primary,25,-0.031875820568927786
2023-07-16-primary,26,-0.08855005470459519
2023-07-16-primary,27,-0.05889934354485776
2023-07-16-primary,28,-0.09261241794310722
