k,N,repetitions,mc_mean,mc_sd,ci_low,ci_high,normalized_mean,normalized_ci_low,normalized_ci_high,lower_bound,upper_bound,lower_normalized,upper_normalized,potential_rhs,martingale_rel_gap
5,20,20000,454.95985,270.50157114696606,451.2109583805483,458.70874161945176,1.137399625,1.1280273959513707,1.1467718540486294,250.0,4000.0,0.625,10.0,456.00485,0.0022969059797253734
5,40,20000,1832.9965,1091.9062019905589,1817.8637301883016,1848.1292698116984,1.1456228125,1.1361648313676884,1.1550807936323115,1000.0,16000.0,0.625,10.0,1823.2812,0.005300228341952683
6,5,20000,30.19105,16.73374885717605,29.959136334631328,30.422963665368673,1.207642,1.198365453385253,1.216918546614747,15.0,375.0,0.6,15.0,30.34265,0.005021355666662749
6,10,20000,122.0001,67.74652153099063,121.06119836723812,122.93900163276189,1.2200010000000001,1.2106119836723812,1.2293900163276188,60.0,1500.0,0.6,15.0,121.83975,0.0013143431849646698
6,20,20000,486.39555,269.81794376270886,482.656132798611,490.13496720138903,1.215988875,1.2066403319965275,1.2253374180034726,240.0,6000.0,0.6,15.0,488.99155,0.005337219882048681
6,40,20000,1964.58145,1102.7325711713033,1949.2986371237873,1979.8642628762125,1.22786340625,1.218311648202367,1.2374151642976328,960.0,24000.0,0.6,15.0,1956.8288,0.003946209509409704
8,5,20000,34.4103,17.57332339071781,34.166750639062705,34.65384936093729,1.376412,1.3666700255625082,1.3861539744374918,14.285714285714286,700.0,0.5714285714285715,28.0,34.26235,0.004299584717366648
8,10,20000,138.80395,70.81983258121868,137.82245523185884,139.78544476814113,1.3880394999999999,1.3782245523185883,1.3978544476814114,57.142857142857146,2800.0,0.5714285714285715,28.0,138.50125,0.0021807736739479487
8,20,20000,556.698,285.74249025046436,552.7378838998268,560.6581161001732,1.391745,1.381844709749567,1.4016452902504328,228.57142857142858,11200.0,0.5714285714285715,28.0,553.69235,0.005399067357885148
8,40,20000,2222.1672,1127.7897633121484,2206.5371185396325,2237.7972814603672,1.3888544999999999,1.3790856990872704,1.3986233009127296,914.2857142857143,44800.0,0.5714285714285715,28.0,2221.08495,0.000487024558728043
10,5,20000,37.7912,18.27989087167957,37.53785829332245,38.044541706677556,1.511648,1.501514331732898,1.5217816682671021,13.88888888888889,1125.0,0.5555555555555556,45.0,37.878,0.0022968310082769707
10,10,20000,153.8982,74.21629025791428,152.8696335950251,154.9267664049749,1.538982,1.528696335950251,1.549267664049749,55.55555555555556,4500.0,0.5555555555555556,45.0,154.2632,0.0023716976546834796
10,20,20000,619.92705,294.66050578416673,615.8433387814891,624.0107612185109,1.549817625,1.539608346953723,1.5600269030462772,222.22222222222223,18000.0,0.5555555555555556,45.0,620.8628,0.0015094517975945468
10,40,20000,2473.3875,1174.5304458940886,2457.1096376322025,2489.665362367797,1.5458671874999999,1.5356935235201266,1.5560408514798731,888.8888888888889,72000.0,0.5555555555555556,45.0,2474.135,0.00030221710104073873
15,5,20000,46.7363,20.688628839973035,46.449575501701304,47.023024498298696,1.869452,1.857983020068052,1.8809209799319477,13.392857142857142,2625.0,0.5357142857142857,105.0,46.694,0.0009050780656576867
15,10,20000,192.1072,81.96401718538237,190.97125755123716,193.24314244876285,1.9210720000000001,1.9097125755123716,1.9324314244876286,53.57142857142857,10500.0,0.5357142857142857,105.0,192.5043,0.002067075049763854
15,20,20000,771.34905,324.1629355656461,766.8564634788715,775.8416365211285,1.9283726250000002,1.917141158697179,1.9396040913028214,214.28571428571428,42000.0,0.5357142857142857,105.0,772.40365,0.0013672150111547251
15,40,20000,3100.36045,1311.7312738410012,3082.181116110647,3118.539783889353,1.93772528125,1.9263631975691544,1.9490873649308458,857.1428571428571,168000.0,0.5357142857142857,105.0,3102.04205,0.0005423885471122847
20,5,20000,54.8152,23.140685459298222,54.494492355238854,55.13590764476114,2.192608,2.179779694209554,2.2054363057904456,13.157894736842104,4750.0,0.5263157894736842,190.0,54.8338,0.0003393219398998687
20,10,20000,227.3905,90.93238336625315,226.1302646213548,228.6507353786452,2.273905,2.261302646213548,2.286507353786452,52.63157894736842,19000.0,0.5263157894736842,190.0,227.01735,0.0016410096288103928
20,20,20000,911.09815,358.12933857439674,906.1348218005793,916.0614781994208,2.2777453750000003,2.2653370545014484,2.2901536954985517,210.52631578947367,76000.0,0.5263157894736842,190.0,909.92065,0.0012923964339078167
20,40,20000,3661.6995,1432.049552842303,3641.8526704805763,3681.546329519424,2.2885621875,2.2761579190503602,2.30096645594964,842.1052631578947,304000.0,0.5263157894736842,190.0,3668.5132,0.0018608026136496725
