split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,14,60,0.8,7000,2094.0468571428573,600.284192426808,7.174768405197132,2079.984569471255,2108.10914481446,10076034
development,14,60,0.925,7000,4770.485142857143,1820.9922245514053,21.7650200415932,4727.826487452828,4813.143798261458,10076159
development,14,60,1.075,7000,5941.1302857142855,2305.794363797045,27.559513908522252,5887.114631022151,5995.14594040642,10076309
development,14,60,1.2,7000,4829.340857142857,1589.8887542828654,19.002805247779005,4792.096043251981,4866.585671033733,10076434
development,14,60,1.4,7000,3769.2208571428573,1036.2636002763634,12.385719018621696,3744.945293943726,3793.4964203419886,10076634
development,14,60,1.6,7000,3134.375,760.2255858405608,9.086433697446381,3116.565917205094,3152.184082794906,10076834
development,14,60,1.8,7000,2677.9164285714287,586.3097997879913,7.007742466397276,2664.181505724358,2691.6513514184994,10077034
development,18,15,0.4,7000,220.84442857142858,70.01080232482133,0.8367891390108132,219.2043519963131,222.48450514654405,10078905
development,18,15,0.6,7000,310.10785714285714,110.66856509361443,1.322742351538736,307.5153297730154,312.70038451269886,10079105
development,18,15,0.8,7000,423.55642857142857,162.76781845554424,1.945447532970132,419.7434214729948,427.36943566986236,10079305
development,18,15,0.925,7000,477.34,188.82151828257838,2.256848807092949,472.9166576195456,481.76334238045433,10079430
development,18,15,1.075,7000,478.44014285714286,193.3892242203722,2.311443335251727,473.90979716774433,482.9704885465414,10079580
development,18,15,1.2,7000,453.26971428571426,172.78747321093093,2.0652053131630477,449.22198625123394,457.3174423201946,10079705
development,18,15,1.4,7000,430.1777142857143,157.66822770500278,1.8844957653606897,426.4841704565891,433.87125811483946,10079905
development,18,15,1.6,7000,398.6697142857143,135.8335152852845,1.6235210357543268,395.48767152749264,401.85175704393595,10080105
development,18,15,1.8,7000,377.5174285714286,124.54541078490314,1.4886023813142055,374.5998215167522,380.435035626105,10080305
development,18,30,0.4,7000,449.0722857142857,103.17059215169068,1.2331244338167116,446.65540623554864,451.4891651930228,10079160
development,18,30,0.6,7000,672.895,190.79366343438988,2.2804204501650016,668.425458048068,677.364541951932,10079360
development,18,30,0.8,7000,1231.8157142857142,432.8833066491648,5.173945126103551,1221.6749681805647,1241.9564603908636,10079560
development,18,30,0.925,7000,1810.7902857142858,714.4194737511312,8.53894594092974,1794.054259204129,1827.5263122244426,10079685
development,18,30,1.075,7000,1876.347142857143,736.493668614699,8.802783033219324,1859.0940051483128,1893.600280565973,10079835
development,18,30,1.2,7000,1716.153142857143,623.1394662313029,7.447941176450165,1701.5554463923277,1730.7508393219582,10079960
development,18,30,1.4,7000,1522.0521428571428,501.0324111906934,5.988482720589105,1510.3149324027477,1533.789353311538,10080160
