k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,batch_means_json,formula_mean,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper,formula_sha256
3,112,0.94,6000,2795.81,1091.2106964425668,14.08746951508486,"[2812.64,2721.17,2802.79,2937.43,2773.275,2783.37,2881.835,2797.405,2721.79,2734.345,2726.51,2744.075,2777.145,2960.625,2999.19,2853.295,2761.915,2774.8,2625.215,2790.185,2897.275,2717.815,2831.94,2836.965,2841.025,2761.33,2753.81,2810.355,2812.315,2632.465]",2797.686238464736,0.000671089403334333,0.000671089403334333,2736.9005866942175,2854.7194133057824,0.022209667412121492,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.0,6000,12698.407166666666,8939.011087675539,115.40213691376937,"[13058.265,12162.135,12941.75,12308.44,12562.455,12464.58,12287.33,13082.845,12102.51,12580.335,12718.595,13291.105,12454.735,13567.975,12533.2,13235.26,13349.295,12690.82,11762.75,13126.875,12727.655,12284.77,13410.85,12430.4,11980.595,12713.275,12905.95,13302.66,13029.82,11884.985]",12544.0,-0.012159569672012482,0.012159569672012482,12215.831344760243,13180.982988573089,0.04832590931384284,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.06,6000,3661.142,1325.3550489725283,17.110260108275057,"[3625.075,3701.68,3639.885,3760.445,3587.075,3501.845,3826.805,3598.555,3666.615,3710.695,3708.0,3652.26,3887.33,3597.955,3614.105,3751.605,3634.62,3823.06,3741.625,3646.615,3681.105,3663.57,3658.645,3658.49,3571.685,3678.81,3624.07,3585.795,3506.84,3529.4]",3675.646227445387,0.003961667546734649,0.003961667546734649,3589.592217165794,3732.6917828342057,0.023973199481566176,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.275,6000,1013.2563333333334,177.119616416822,2.2866044155633247,"[1019.66,1022.91,1001.54,1001.945,1032.415,1015.035,1018.42,1007.905,1018.585,1017.09,1008.5,1018.595,1014.635,997.74,1021.525,1018.26,1008.67,1009.23,1011.695,1023.04,1008.625,1014.375,1003.145,1005.19,1017.87,1004.46,1007.58,1006.375,1020.56,1022.115]",1011.4996687913815,-0.0017336822718619707,0.0017336822718619707,1003.694465288898,1022.8182013777688,0.011066025781650057,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.675,6000,442.9021666666667,46.55669142266154,0.6010443017816194,"[440.04,441.765,439.51,446.085,442.235,442.88,448.715,443.61,443.635,440.78,441.85,447.515,441.26,440.415,438.945,445.82,445.44,438.36,445.13,451.71,445.47,439.565,447.255,442.97,438.18,440.065,439.705,437.525,450.365,440.265]",442.34917183823023,-0.0012485710616372847,0.0012485710616372847,440.3887864495294,445.415546883804,0.006884301787458025,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.875,6000,346.58933333333334,29.72072071404364,0.38369285454257607,"[349.705,346.34,347.18,349.985,346.49,343.755,348.985,347.125,349.32,346.195,341.85,346.645,341.685,346.35,346.95,345.775,348.905,347.545,346.695,345.83,348.585,349.51,341.62,346.155,343.775,344.495,349.41,348.185,346.97,345.665]",346.3612009696395,-0.0006582209599463058,0.0006582209599463058,344.98484922591285,348.19381744075383,0.005263207958671301,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,14,0.325,6000,41.34316666666667,11.75097517407864,0.1517044371696779,"[41.26,40.44,40.135,42.195,40.955,40.47,41.72,41.865,41.28,42.485,41.325,40.83,40.985,40.985,41.815,41.985,42.42,41.45,41.485,41.23,41.575,41.59,41.68,40.985,40.345,42.3,41.21,40.91,40.57,41.815]",40.87816557396919,-0.011247350655226633,0.011247350655226633,40.70878592284464,41.9775474104887,0.026189758676677943,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,14,0.525,6000,58.6455,21.0790468819847,0.2721293250928404,"[58.885,60.695,59.48,56.295,57.83,59.755,56.365,58.27,60.3,59.5,59.235,61.555,57.905,58.19,59.05,59.985,60.32,56.5,58.685,55.5,56.67,58.845,59.785,55.54,60.215,57.28,57.55,60.905,59.985,58.29]",58.57514710027242,-0.001199629975489698,0.001199629975489698,57.50753985269662,59.78346014730338,0.020211494016133202,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,14,0.725,6000,97.42466666666667,46.31574083970241,0.5979336431314205,"[95.54,103.99,95.855,99.04,94.07,100.54,91.935,97.37,97.805,99.535,92.66,91.96,100.405,100.4,95.28,95.45,101.63,95.665,98.705,98.91,95.18,96.305,100.185,96.69,93.93,101.16,97.715,98.495,102.055,94.28]",97.41769522660192,-7.155723805140649e-05,7.155723805140649e-05,94.92429425592651,99.92503907740682,0.026267258452856268,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,14,0.94,6000,194.69933333333333,118.92169269896873,1.53527245108634,"[201.14,192.86,188.86,212.645,195.875,195.185,202.2,198.515,194.8,194.925,176.845,194.51,195.45,199.655,199.86,200.22,199.83,179.705,195.7,191.71,188.78,194.295,196.28,198.215,196.7,188.92,182.205,197.68,202.51,184.905]",196.50962129169505,0.00929786418560786,0.00929786418560786,188.2793017399246,201.11936492674207,0.04371335285245115,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
