cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2022-05-31-primary-hotspot-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,10,202607231010,31,30,930,870,20,218.35,256.6,-38.25,-0.1490646921278254,-0.3825,22.03261637233595,3.865530558367775,-1.2341775186805877,0.4691775186805877,0.8516775186805877,144.5,193.0,336.1000000000001,172.1,257.0,331.1,403,5,4,-0.38249999999999995,0.2709198836064517,12.746788173124813,-3.835858368219069,3.0708583682190693,3.453358368219069,0,0.03943970000000263,raw/21-2022-05-31-primary-hotspot-N10.npz,2ea4254279dd7970c171a90ac9d703f1b0ccf6604490eafd1817970fd2ffb842
2022-05-31-primary-hotspot-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,20,202607231011,31,30,930,870,20,830.0,946.45,-116.45,-0.12303872365153996,-0.291125,80.51637541845955,3.865530558367775,-1.0692212740726683,0.4869712740726683,0.7780962740726683,567.5,775.5,1150.2,711.2,850.0,1423.0,1636,5,4,-0.291125,0.1681681171476924,12.746788173124813,-2.4347283667548734,1.8524783667548732,2.1436033667548733,0,0.04732610000019122,raw/22-2022-05-31-primary-hotspot-N20.npz,dc6a0a18bb5848a0f639491fdda1c523b26ebf7691c81c60be5fa3d30f4559af
2022-05-31-primary-hotspot-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,40,202607231012,31,30,930,870,20,3220.65,3171.15,49.5,0.015609479211011778,0.0309375,268.6563006793938,3.865530558367775,-0.6181244624838986,0.6799994624838985,0.6490619624838986,2161.2,2949.5,4310.400000000001,2268.9,3005.5,4047.4000000000005,5445,5,4,0.030937499999999993,0.14565373911695503,12.746788173124813,-1.8256798591474093,1.8875548591474094,1.8566173591474093,0,0.07008530000030078,raw/23-2022-05-31-primary-hotspot-N40.npz,818bf1bfb1468973064cb1b34420aed43f379b28d88b727d0188dac92d8899f3
2022-05-31-primary-hotspot-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,80,202607231013,31,30,930,870,20,9393.3,9060.1,333.2,0.03677663601946998,0.0520625,666.3835334731872,3.865530558367775,-0.3504259237865156,0.4545509237865156,0.4024884237865156,7625.6,9376.5,11807.8,6023.8,8913.0,11355.4,13195,5,4,0.0520625,0.08920021242763618,12.746788173124813,-1.084953712812814,1.1890787128128137,1.1370162128128138,0,0.13298950000034893,raw/24-2022-05-31-primary-hotspot-N80.npz,a393328b1d9441417442c6a9823c6ec47c770dc8ae848c5ed859fdbcc79d9b50
2022-05-31-hub-uniform-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,10,202607231100,31,36,948,876,20,244.45,263.05,-18.6,-0.07070899068618133,-0.18600000000000003,26.25716944699906,3.865530558367775,-1.2009789087361555,0.8289789087361555,1.0149789087361556,144.0,225.0,387.90000000000003,159.3,259.0,356.90000000000003,459,5,4,-0.186,0.145728057239046,12.746788173124813,-2.043564676507127,1.6715646765071273,1.8575646765071272,0,0.048807300000135,raw/25-2022-05-31-hub-uniform-N10.npz,838b16e2168ce52b0ec0f7bb639eae5621f5f2fc1ed049e2512019fe171854c0
2022-05-31-hub-uniform-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,20,202607231101,31,36,948,876,20,950.4,1238.95,-288.55,-0.23289882561846725,-0.721375,77.81940885625413,3.865530558367775,-1.4734082574199154,0.030658257419915458,0.7520332574199154,784.0,911.0,1254.6000000000001,868.4,1238.0,1537.1000000000004,1768,5,4,-0.7213750000000001,0.211818748678361,12.746788173124813,-3.421383720499429,1.9786337204994289,2.700008720499429,0,0.05889320000005682,raw/26-2022-05-31-hub-uniform-N20.npz,1f5321e9527f3196b4b1d8f2b774e64f1029eb34536aa0a5a49b1b15e30cdc28
2022-05-31-hub-uniform-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,40,202607231102,31,36,948,876,20,4749.4,4045.15,704.25,0.17409737586986884,0.44015625,384.2784206864382,3.865530558367775,-0.4882437363029588,1.3685562363029589,0.9283999863029588,3184.3,4360.5,6891.2,3054.7,3939.5,5313.8,8068,5,4,0.44015625,0.2797781783870259,12.746788173124813,-3.1261169253621457,4.006429425362146,3.566273175362146,0,0.09785770000007687,raw/27-2022-05-31-hub-uniform-N40.npz,20287be45136bedfc8e3984fa1de5ca2616b8b192dda922ddc23734529543ce5
2022-05-31-hub-uniform-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,80,202607231103,31,36,948,876,20,17113.15,16541.7,571.45,0.03454602610372574,0.0892890625,1578.0763781045514,3.865530558367775,-0.8638519473439816,1.0424300723439817,0.9531410098439816,9736.1,16174.5,23863.600000000002,10395.7,16938.5,19456.2,33513,5,4,0.08928906250000002,0.22001989485054654,12.746788173124813,-2.7152579310331113,2.893836056033112,2.8045469935331115,0,0.2487916000000041,raw/28-2022-05-31-hub-uniform-N80.npz,1044e2df2102a3dfc7168c62ff0abce0faebaf723009fe1dc0a72e6e4c2df4c4
2022-05-31-hub-hotspot-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,10,202607231110,31,36,948,876,20,236.05,244.05,-8.0,-0.03278016799836099,-0.08,28.13669639830743,3.865530558367775,-1.1676325973917387,1.0076325973917386,1.0876325973917387,155.5,227.0,336.2,131.4,233.0,334.0000000000001,499,5,4,-0.07999999999999999,0.24263965051079348,12.746788173124813,-3.1728762274621203,3.01287622746212,3.09287622746212,0,0.04815569999982472,raw/29-2022-05-31-hub-hotspot-N10.npz,51d4c59b4f985b1d7d126119ad0724e1c53312631e2962c77f49892e9a5c3677
2022-05-31-hub-hotspot-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,20,202607231111,31,36,948,876,20,804.2,791.8,12.4,0.01566052033341753,0.031,56.0981001648475,3.865530558367775,-0.5111223011339858,0.5731223011339859,0.5421223011339859,647.2,789.0,992.2,547.9,788.5,1061.0000000000002,1170,5,4,0.030999999999999993,0.15555625991904024,12.746788173124813,-1.9518426941915514,2.0138426941915513,1.9828426941915513,0,0.054707799999960116,raw/30-2022-05-31-hub-hotspot-N20.npz,2ba6e04ad4c045f397024b61a878b33d481d562885602b0189dc3bb3db32e48d
