cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass,edge_count,route_count,mean_route_length,second_moment_route_length,multi_channel_probability,maximum_absolute_drift,drift_l1,drift_l2,cross_covariance_frobenius,cross_covariance_spectral,positive_cross_covariance_mass,negative_cross_covariance_mass,maximum_absolute_cross_covariance
2020-10-14-primary-hotspot-N40,2020-10-14,primary,hotspot,40,202607230012,202607240012,20000,20000,40000,500,80,0.0022106093749999,0.0031500247571449,3.405199776924186,-0.0085158542253355,0.0129370729753355,0.0107264636003355,0.03,True,42,978,1.8413752446438683,3.524125733931604,0.8413752446438677,0.008507191148805993,0.12035558412791603,0.02251509871794589,0.05733561327501475,0.055054188059610244,0.8343837060165284,0.8526295684634875,0.0023138375569454746
2020-10-14-primary-hotspot-N80,2020-10-14,primary,hotspot,80,202607230013,202607240013,20000,20000,40000,500,80,0.00082684765625,0.0017441145495085,3.405199776924186,-0.0051122108186668,0.0067659061311668,0.0059390584749168,0.03,True,42,978,1.8413752446438683,3.524125733931604,0.8413752446438677,0.008507191148805993,0.12035558412791603,0.02251509871794589,0.05733561327501475,0.055054188059610244,0.8343837060165284,0.8526295684634875,0.0023138375569454746
2020-10-14-primary-uniform-N10,2020-10-14,primary,uniform,10,202607230000,202607240000,20000,20000,40000,500,80,0.0117155,0.0061107307045615,3.405199776924186,-0.0090927588320166,0.0325237588320166,0.0208082588320166,0.03,True,42,978,1.9096774193548394,3.7290322580645165,0.9096774193548389,1.214306433183765e-17,2.1131100341742481e-16,3.9964139168994164e-17,0.061937723973826526,0.05981211960521025,0.9010752688172045,0.9182795698924733,0.002150537634408603
2020-10-14-primary-uniform-N20,2020-10-14,primary,uniform,20,202607230001,202607240001,20000,20000,40000,500,80,0.005452,0.0061133409031737,3.405199776924186,-0.0153651470797488,0.0262691470797488,0.0208171470797488,0.03,True,42,978,1.9096774193548394,3.7290322580645165,0.9096774193548389,1.214306433183765e-17,2.1131100341742481e-16,3.9964139168994164e-17,0.061937723973826526,0.05981211960521025,0.9010752688172045,0.9182795698924733,0.002150537634408603
2020-10-14-primary-uniform-N40,2020-10-14,primary,uniform,40,202607230002,202607240002,20000,20000,40000,500,80,-2.4687499999998323e-05,0.0053868858006828,3.405199776924186,-0.0183681098268012,0.0183187348268013,0.0183434223268013,0.03,True,42,978,1.9096774193548394,3.7290322580645165,0.9096774193548389,1.214306433183765e-17,2.1131100341742481e-16,3.9964139168994164e-17,0.061937723973826526,0.05981211960521025,0.9010752688172045,0.9182795698924733,0.002150537634408603
2020-10-14-primary-uniform-N80,2020-10-14,primary,uniform,80,202607230003,202607240003,20000,20000,40000,500,80,0.0143810429687499,0.0063501240186175,3.405199776924186,-0.0072423979228875,0.0360044838603875,0.0216234408916375,0.03,True,42,978,1.9096774193548394,3.7290322580645165,0.9096774193548389,1.214306433183765e-17,2.1131100341742481e-16,3.9964139168994164e-17,0.061937723973826526,0.05981211960521025,0.9010752688172045,0.9182795698924733,0.002150537634408603
2022-05-31-hub-hotspot-N10,2022-05-31,hub,hotspot,10,202607231110,202607241110,20000,20000,40000,500,80,-0.0114989999999999,0.0051143715218285,3.405199776924186,-0.028914456765238,0.005916456765238,0.017415456765238,0.03,True,36,948,1.84541753053083,3.5362525915924903,0.8454175305308301,0.006382574051272814,0.09878888442952027,0.019137949253298307,0.05759646870908897,0.05589931322718361,0.0111563104057452,1.6854643443361506,0.0022477850828421498
2022-05-31-hub-hotspot-N20,2022-05-31,hub,hotspot,20,202607231111,202607241111,20000,20000,40000,500,80,-0.0114419375,0.0050513007712622,3.405199776924186,-0.028642625759479,0.005758750759479,0.017200688259479,0.03,True,36,948,1.84541753053083,3.5362525915924903,0.8454175305308301,0.006382574051272814,0.09878888442952027,0.019137949253298307,0.05759646870908897,0.05589931322718361,0.0111563104057452,1.6854643443361506,0.0022477850828421498
2022-05-31-hub-hotspot-N40,2022-05-31,hub,hotspot,40,202607231112,202607241112,20000,20000,40000,500,80,-0.016174390625,0.0033774629949322,3.405199776924186,-0.0276753268619131,-0.0046734543880869,0.0115009362369131,0.03,True,36,948,1.84541753053083,3.5362525915924903,0.8454175305308301,0.006382574051272814,0.09878888442952027,0.019137949253298307,0.05759646870908897,0.05589931322718361,0.0111563104057452,1.6854643443361506,0.0022477850828421498
2022-05-31-hub-hotspot-N80,2022-05-31,hub,hotspot,80,202607231113,202607241113,20000,20000,40000,500,80,-0.0056379921875,0.0016585898997669,3.405199776924186,-0.011285822144195,9.837769195082148e-06,0.005647829956695,0.03,True,36,948,1.84541753053083,3.5362525915924903,0.8454175305308301,0.006382574051272814,0.09878888442952027,0.019137949253298307,0.05759646870908897,0.05589931322718361,0.0111563104057452,1.6854643443361506,0.0022477850828421498
