cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,censored_count,runtime_seconds
2022-05-31-primary-hotspot-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,20,202607221011,31,30,930,870,2000,903.823,903.715,0.108,0.00011950670288752538,0.00027,8.542989377363808,3.2838500376251365,-0.06986473997071821,0.07040473997071822,0.07013473997071822,572.0,890.0,1247.0,567.8,887.0,1254.3000000000004,2254,0,1.0732631999999285
2022-05-31-primary-hotspot-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,40,202607221012,31,30,930,870,2000,2987.7485,3032.391,-44.6425,-0.014721881182209021,-0.027901562499999998,24.63593723706588,3.2838500376251365,-0.0784645146392933,0.02266138963929331,0.05056295213929331,2034.3,2958.0,4005.0,2026.9,2968.0,4105.0,6533,0,3.4054344999999557
2022-05-31-primary-hotspot-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,80,202607221013,31,30,930,870,2000,8991.0595,9175.944,-184.8845,-0.020148826104431326,-0.028888203125,58.3229019341878,3.2838500376251365,-0.058813775579842145,0.0010373693298421464,0.029925572454842148,6751.9,8979.0,11239.900000000001,6763.8,9114.0,11629.6,17042,0,11.679871399999683
2022-05-31-hub-uniform-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,10,202607221100,31,36,948,876,2000,252.865,249.552,3.313,0.013275790216067193,0.03313,2.568908749173623,3.2838500376251365,-0.051229110926293446,0.11748911092629344,0.08435911092629345,158.0,242.0,359.0,154.0,239.0,361.0,639,0,0.41964680000000953
2022-05-31-hub-uniform-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,20,202607221101,31,36,948,876,2000,1020.4485,1019.3715,1.077,0.001056533363940428,0.0026925,10.25928342935031,3.2838500376251365,-0.08153237068869738,0.08691737068869738,0.08422487068869738,635.0,983.0,1449.1000000000001,642.9,986.5,1436.0,2807,0,1.4555414999999812
2022-05-31-hub-uniform-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,40,202607221102,31,36,948,876,2000,4110.7355,4096.007,14.7285,0.0035958190501139283,0.0092053125,41.65232235869701,3.2838500376251365,-0.07628217521548844,0.09469280021548845,0.08548748771548845,2575.0,3961.0,5828.9000000000015,2550.2,3956.0,5875.0,10629,0,5.517899299999954
2022-05-31-hub-uniform-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,uniform,80,202607221103,31,36,948,876,2000,16491.54,16338.5635,152.9765,0.009362910025719212,0.023902578124999997,164.13509262887698,3.2838500376251365,-0.06031539532889733,0.10812055157889733,0.08421797345389732,10427.0,15941.0,23191.30000000001,10192.8,15726.0,23431.700000000004,40846,0,23.2689634999997
2022-05-31-hub-hotspot-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,10,202607221110,31,36,948,876,2000,251.7515,251.218,0.5335,0.0021236535598563797,0.0053349999999999995,2.5394849735409775,3.2838500376251365,-0.07805787825911006,0.08872787825911008,0.08339287825911007,156.9,245.0,359.0,152.0,243.5,360.0,591,0,0.5097734999999375
2022-05-31-hub-hotspot-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,20,202607221111,31,36,948,876,2000,920.476,927.338,-6.862,-0.007399675199334008,-0.017155,8.46692493689081,3.2838500376251365,-0.08666527943144524,0.05235527943144523,0.06951027943144523,588.9,896.0,1271.1000000000001,613.9,904.0,1281.1000000000001,2036,0,1.3273042999999234
2022-05-31-hub-hotspot-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,hub,hotspot,40,202607221112,31,36,948,876,2000,2980.1565,2955.965,24.1915,0.0081839602295697,0.015119687500000001,21.60805094974552,3.2838500376251365,-0.029228811827704815,0.059468186827704814,0.044348499327704814,2161.9,2937.5,3883.3,2081.6,2897.0,3885.0,5455,0,4.306916999999885
