snapshot,mode,local_node_index,node_id,subgraph_degree
20220531.gml.geo,primary,6,0209935d1cf5328ad835d6fa0422850ac2dd1c6cafc24380a068992a3bd0fd2b34,1
20220531.gml.geo,primary,7,020b6124e01894ab4f0eb17362531868b94a148636accdd6d5a489ffac3c188c51,1
20220531.gml.geo,primary,8,020b89502397dede9af0a453e438f611209a91db26d7b5f6de26a43de5ffe6af20,1
20220531.gml.geo,primary,9,020c808d86adb38265193bd06b468e4bcbfa193867c66051f02f5fd9414aaa7dc7,1
20220531.gml.geo,primary,10,020ce3c7a4516ae35d76c49990da4f727012f20c49127fed46000c6d5dc4908a97,1
20220531.gml.geo,primary,11,020d01b5c15c94dc84eb3bf0402f41b073423624a2df35c88ee2cd6c8b4b29e838,1
20220531.gml.geo,primary,12,020dd87cbbadc793a945312c518f865989b3fe381ac2eb0f01bb8c037486f82469,1
20220531.gml.geo,primary,13,020dd8fc221b1075c628bc049a0580e4dbb510d73d5416ea9a1334a518c467c5c3,1
20220531.gml.geo,primary,14,020ed84b94b653a524b18b086800c101280b68164aae445ec3a538cc4b6d9e128f,1
20220531.gml.geo,primary,15,0210dd588f6dcdc6c629d7c470ef7008352826d4def2eb0bb6302e7c8dce5c836f,1
20220531.gml.geo,primary,16,02115a88404ded6c0ffd47de303f5181e2789baba978545617b5ba60744e545004,1
20220531.gml.geo,primary,17,0212864d59d5a902634c4a3186615446e9d56c17b14600f3b74fbabe3509aa707f,1
20220531.gml.geo,primary,18,02130bc1e08d541f64b7283e2401a7a16699f185129e0f1ad605dcb1a2803113ba,1
20220531.gml.geo,primary,19,0213355124da5fb0055ce80dd951a60c8470078817c51b3733f0066b593574bf05,1
20220531.gml.geo,primary,20,0213836acf6b81fa1a7005c7d868d316970c0f8356d21309e13fc03561a4248300,1
20220531.gml.geo,primary,21,0213fb33f367be75c7b7869ee744b7ee9460fff715ebd286a74ebc45c661406d23,1
20220531.gml.geo,primary,22,0214073a35d4a87440e9f44428e4203c7b334638cb967eddda6448a9071f7d826f,1
20220531.gml.geo,primary,23,0215292ba94ca0aee6413fbb3655a170178c1208eeeaed5c73806f44dded512394,1
20220531.gml.geo,primary,24,02157b2e0f7b26945a13da859bd218c2af2d16c82eceac956722dfeccdfcc24a98,1
20220531.gml.geo,primary,25,02159952697e25d8c7d50c0b68f110a90813a752bfc4ed423c7cfeb6634b7b4d29,1
20220531.gml.geo,primary,26,0217664407a42f66eda9f01ecc77a37e7105213eeb234647ab38f3821190dd8490,1
20220531.gml.geo,primary,27,0217a75ccc5fa0b0d56c3de5a90a13c1c62fe56aaf3d55c982ff79381268b3cdaa,1
20220531.gml.geo,primary,28,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,29
20220531.gml.geo,primary,29,02f0d15e7809f574c69ff047d1edbbd4685224f53e9103179b8f031574bc1fe6f3,1
20220531.gml.geo,primary,30,03ca79960a5c68eda7a375da8233353f4c893e102141f20be0d3db5f24227d7a2f,2
20220531.gml.geo,hub,0,020016201d389a44840f1f33be29288952f67c8ef6b3f98726fda180b4185ca6e2,2
20220531.gml.geo,hub,1,02005a505c16ab5321e73f1efbd0fc74e2cccda04e67fda3a036438c6372b3c918,1
20220531.gml.geo,hub,2,02005d8bb944a7a3369e66369ecf456cc53fcaa2c141dba404170580432cf4ff79,1
20220531.gml.geo,hub,3,02006a7dc99e2db1e73baf8da79646034412b9770ffc7536ce75c71e91b923f59a,1
20220531.gml.geo,hub,4,0200b122dd16817e0addbf8f81299e6488c42e47bd13bf935f245edcb26568c6c3,1
20220531.gml.geo,hub,5,0200cf174ef5c6abbdd2f8ab87d1628c83a99a309266465e9c7cde14fb6d5882a9,5
20220531.gml.geo,hub,6,0200da31ae309a42f955de9383c150a4167246bb22d5380898cd70aecc59136c50,1
20220531.gml.geo,hub,7,0200e5a6afd0cca4383b67a7ed18fc0af24b80f475295d683ee58d7fb00e8d9b13,1
20220531.gml.geo,hub,8,020111074bd304e17a1cc74e1f4b76d64b1764895ae3a26ad3ab2c4fd0f63cdc35,2
20220531.gml.geo,hub,9,0201443a430b135e5f159afb447d9254c7b373c9fd43f69f9468c9162ab481f510,1
20220531.gml.geo,hub,10,020181e74c5c80bbb4b47f58e1e1012013a199989f61597d6fc5b4e386df79d3ce,1
20220531.gml.geo,hub,11,0201aac627cd9bd20fde0408a0571fe906904848e60e9b5790f64e5190c110176e,1
20220531.gml.geo,hub,12,0201af659a3986832bb5bf2493c537cee9f7d62a7bff5d0a68176c1d60df931cf7,2
20220531.gml.geo,hub,13,0201c7d931c2d41fabbf92000db705cffff35fcca3a6a18576a293a1fed3fb5c65,2
20220531.gml.geo,hub,14,0201dd8a0e2b0bba7b39314b1cb515b789b56861fce45b0a278bdccf43415294e7,1
20220531.gml.geo,hub,15,0201de34693d639e341391c882535e039627605ea14f8be912f55c0e36772ec1f3,1
20220531.gml.geo,hub,16,020200298c7dfed25f31fb85a1ef20b6ea7be4780d8b84bffca6589cce52e98c1c,1
20220531.gml.geo,hub,17,020284ccf92bfded620df993909e1ef55282725adcde48dc20bb3754b004427037,1
20220531.gml.geo,hub,18,020296a52fcc2ac3d48c420cd073638deb1a57f0175097e8defe12b12a66ff0f79,1
20220531.gml.geo,hub,19,0202b72d9ddbaf4b512446b4914c1662b67bfa38080916180c9b35d9dcf2950f6d,1
20220531.gml.geo,hub,20,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,4
20220531.gml.geo,hub,21,02032afeaa3248b3131ea9c132aaae44f1c46e2dda20743030afce21a8679f6ae9,1
20220531.gml.geo,hub,22,0203af58678967b0beeb0ed4ac6910bf26bc8b6121486754161df49a971337a7fb,1
20220531.gml.geo,hub,23,0203af818b15ab7f3853c3c66ac4dd7ab3a4e25d89e58899ef08859e02f63dc4b5,1
20220531.gml.geo,hub,24,0203b5b0de483b8d0ac92737ea8d266f66221c141423274252552b9f8463aae4b0,1
20220531.gml.geo,hub,25,0203bb82348f99eebe9471686366fe642f6a84b4b2db79f605a86c7b89df8f74d5,1
20220531.gml.geo,hub,26,0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4,2
20220531.gml.geo,hub,27,0203f3e0fdaa52ca5c804d145b6a47e5a620c02123106578230061deb212e720bd,1
20220531.gml.geo,hub,28,0204118e61e0cc0fd52cad70d133771943adaf77b8c4ccbb2732ac501e31f9a021,1
20220531.gml.geo,hub,29,02045f289f0de16b275e925aff584bc6c626dddc0f29e15b367d68a35de445d98b,1
20220531.gml.geo,hub,30,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,30
20230716.gml.geo,primary,0,020181f8e09b92f94e1d27b75aa21dadd6a0460fbb602e432b9ad016fc25857216,1
20230716.gml.geo,primary,1,0203cf65531719c961986302535d1b9b3594b9eda27de7a9caba163f644a434b41,1
20230716.gml.geo,primary,2,020439fefa80100a7d89cefb7c5067ca5ead869707d33a3763f226fb2dafc06e12,1
20230716.gml.geo,primary,3,0204ea5f78a543de7ac40c91537504fb682f1870d88e642e49fafa093eba206d4e,1
20230716.gml.geo,primary,4,0204f6d4b5f4ffc8d6fae54e6ce934bc799579a281877130bfd6d6ee672b654998,1
20230716.gml.geo,primary,5,02063e9cd1e6c8bc20b4391785e13fdcfc81b786649995f85ece3324216d9c42fc,1
20230716.gml.geo,primary,6,0206e74aed257451f07cc1f40b7ace15f3a554bb2fc51eef36b679d325bed4d391,1
20230716.gml.geo,primary,7,0207475247b0cf3acb50070bc5912406e787b400b445ddf98ce55616ea16e0dee3,1
20230716.gml.geo,primary,8,020806c060336147486d2555eddc2d881899186a6fd8ecfd296c998c7b9e3b5631,1
20230716.gml.geo,primary,9,020b89502397dede9af0a453e438f611209a91db26d7b5f6de26a43de5ffe6af20,1
