split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
calibration,4,80,0.3,5000,228.6324,26.031273416395436,0.36813779911308636,227.9108631723905,229.3539368276095,8265730
calibration,4,80,0.5,5000,319.722,47.38027959160685,0.6700583398747958,318.40870978630466,321.0352902136953,8265930
calibration,4,80,0.7,5000,529.8144,104.95214787372701,1.4842475092321132,526.9053283377617,532.7234716622382,8266130
calibration,4,80,0.85,5000,1064.2998,301.9266663650835,4.269887864155977,1055.9309735682295,1072.6686264317705,8266280
calibration,4,80,1.0,5000,6775.1752,4270.408063488863,60.392690002533755,6656.807702665541,6893.542697334458,8266430
calibration,4,80,1.15,5000,1866.3454,534.8104256062212,7.563361571908452,1851.5214837170051,1881.1693162829947,8266580
calibration,4,80,1.3,5000,1101.86,230.01516862059145,3.252905710147748,1095.4844219630056,1108.2355780369942,8266730
calibration,4,80,1.5,5000,720.3106,116.65282038485287,1.6497200067733158,717.0772082021491,723.5439917978509,8266930
calibration,4,80,1.7,5000,541.0772,73.27772898550455,1.0363035815120059,539.0460823031865,543.1083176968134,8267130
calibration,4,80,1.9,5000,432.5876,51.06595218474348,0.7221816215516021,431.17215003146214,434.0030499685379,8267330
calibration,5,10,0.3,5000,35.8134,11.958510845265277,0.169118882231599,35.4819330817204,36.144866918279604,8265549
calibration,5,10,0.5,5000,48.7306,19.82753262133163,0.28040365541482154,48.18101893425357,49.28018106574643,8265749
calibration,5,10,0.7,5000,71.819,35.07616151207661,0.4960518332636791,70.84675627233813,72.79124372766188,8265949
calibration,5,10,0.85,5000,99.5316,54.381710855168095,0.7690735303643088,98.02424357902288,101.03895642097712,8266099
calibration,5,10,1.0,5000,114.5986,67.75759511950875,0.958237099717943,112.72048979590272,116.47671020409729,8266249
calibration,5,10,1.15,5000,101.0546,55.101267215643546,0.7792495940030709,99.52729886078652,102.58190113921347,8266399
calibration,5,10,1.3,5000,83.6698,39.86556685466957,0.5637842531756503,82.56480316872491,84.77479683127508,8266549
calibration,5,10,1.5,5000,66.6358,26.791609067454022,0.37889056900991464,65.89318813065869,67.37841186934132,8266749
calibration,5,10,1.7,5000,55.9624,19.801651631150982,0.2800376429416104,55.41353630551896,56.511263694481045,8266949
calibration,5,10,1.9,5000,48.3886,15.155049493321657,0.2143247653189099,47.96853117897994,48.808668821020056,8267149
calibration,5,20,0.3,5000,70.9542,16.848895495428867,0.2382793652064245,70.48718102593634,71.42121897406366,8265719
calibration,5,20,0.5,5000,100.0852,29.947275482450227,0.42351843143404383,99.25511912760038,100.91528087239962,8265919
calibration,5,20,0.7,5000,164.4408,64.66163252427316,0.9144535768101233,162.64850392391833,166.23309607608167,8266119
calibration,5,20,0.85,5000,292.8774,145.26603324013038,2.054371943603332,288.8509049796879,296.9038950203121,8266269
calibration,5,20,1.0,5000,459.9118,272.5333265925118,3.8542032666578625,452.357700408254,467.46589959174605,8266419
calibration,5,20,1.15,5000,329.092,159.85776814783648,2.260730237653641,324.66105015543815,333.5229498445618,8266569
calibration,5,20,1.3,5000,243.1246,93.21761088676263,1.3182960956807759,240.5407871315059,245.70841286849407,8266719
calibration,5,20,1.5,5000,182.0096,57.249644646953406,0.8096322390076176,180.42274997082254,183.59645002917748,8266919
calibration,5,20,1.7,5000,146.5138,39.6479835815192,0.5607071610173024,145.4148341585324,147.61276584146762,8267119
