k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
4,56,1.0,3344.5593937677054,True,66000,3334.5255606060605,2115.0083522623586,8.232658845645242,0.003009073698574746,0.003009073698574746,3300.0991434255793,3368.9519777865416,0.01347239837648484
4,56,1.06,2028.0210358536472,False,6000,2053.0003333333334,970.6255884765195,12.530722465241112,-0.012167215501192274,0.012167215501192274,2000.6007517097846,2105.399914956882,0.03675258014096561
4,56,1.275,762.7293964938676,False,6000,767.7903333333334,191.75284499971087,2.475518584239241,-0.006591561028769234,0.006591561028769234,757.438485028076,778.1421816385907,0.019807158008408265
4,56,1.675,373.730936932712,False,6000,371.4291666666667,60.89307002416928,0.7861261536768324,0.006197063862006824,0.006197063862006824,368.14183174481684,374.7165015885165,0.015181934531605545
4,56,1.875,300.1153321453085,False,6000,296.948,42.04326226619033,0.5427761819239528,0.010666285495469023,0.010666285495469023,294.6782789263001,299.21772107369986,0.018450810961768482
4,112,0.325,331.85185185185185,False,6000,331.75,33.63076971235183,0.43417137005358475,0.0003070138714449062,0.0003070138714449062,329.9344304502922,333.5655695497078,0.005811522607515496
4,112,0.525,471.5789473684211,False,6000,471.21233333333333,61.85198886031517,0.7985057426193577,0.0007780230039701084,0.0007780230039701084,467.87323082321717,474.5514358434495,0.007920343163646537
4,112,0.725,814.5454545454545,False,6000,814.9445,143.9044063470991,1.8577978974272658,-0.000489659669517917,0.000489659669517917,807.175767364166,822.713232635834,0.00992785549858155
4,112,0.94,3733.33333333333,False,6000,3737.837666666667,1438.2827581981148,18.56815056546189,-0.001205063925998109,0.001205063925998109,3660.1914396552424,3815.483893678091,0.021530836620979432
4,112,1.0,13376.414636506277,False,6000,13374.1885,8493.261615958496,109.64753597863316,0.00016645021163540623,0.00016645021163540623,12915.676628296613,13832.700371703388,0.035672773596719276
4,112,1.06,5467.656538586514,False,6000,5466.932,1949.6615221753686,25.170022020422017,0.0001325311137059007,0.0001325311137059007,5361.678801153396,5572.185198846603,0.019765775116987738
4,112,1.275,1731.4161496977085,False,6000,1762.0431666666666,328.72046152763807,4.243762910180527,-0.017381536132793224,0.017381536132793224,1744.2970708912771,1779.789262442056,0.02717912382389287
4,112,1.675,801.7953200376733,False,6000,811.7488333333333,96.20333983671345,1.2419797767904126,-0.012261814106695227,0.012261814106695227,806.555260427282,816.9424062393847,0.0185411922383093
4,112,1.875,636.0494695755015,False,6000,643.9243333333334,65.02696639816988,0.8394945263816708,-0.01222948621473421,0.01222948621473421,640.4138284857734,647.4348381808934,0.017585350577336234
5,14,0.325,51.354428685670236,False,6000,51.94433333333333,15.250748575427615,0.19688631749942548,-0.011356477402021982,0.011356477402021982,51.121016027169325,52.76765063949734,0.026781976015609943
5,14,0.525,73.22292378125873,False,6000,73.08633333333333,26.482568498818328,0.3418884892024018,0.0018688917844932233,0.0018688917844932233,71.65666207169564,74.51600459497102,0.021857865888254446
5,14,0.725,118.88949571625749,False,6000,120.89716666666666,55.29190830938077,0.7138154668741974,-0.01660643508664398,0.01660643508664398,117.91221253298605,123.88212080034728,0.040301417604369894
5,14,0.94,216.032356692305,False,6000,213.0445,122.99192936475471,1.5878189804920466,0.01402456619300194,0.01402456619300194,206.40473517378956,219.68426482621044,0.046644382990579825
5,14,1.0,225.5370005415008,True,66000,223.93777272727272,132.5577866555606,0.5159804847587116,0.007141393766453708,0.007141393766453708,221.78010291994352,226.09544253460191,0.016939741537199238
5,14,1.06,209.5342389641688,True,66000,214.04698484848484,123.64748842560564,0.4812971959377906,-0.021082968711334273,0.021082968711334273,212.03434976110785,216.05961993586183,0.03020176085485171
5,14,1.275,148.61686430959477,False,6000,146.94216666666668,65.40342057728651,0.8443545289361004,0.011396984820069312,0.011396984820069312,143.41133880092087,150.47299453241249,0.03629786565133486
5,14,1.675,92.21360116655764,False,6000,92.36416666666666,29.56843358521047,0.38172683616320074,-0.0016301289292459165,0.0016301289292459165,90.76790383625789,93.96042949707544,0.018591106275990033
5,14,1.875,78.2422911272871,False,6000,78.3255,21.656285820424582,0.27958144774404076,-0.001062347162966108,0.001062347162966108,77.15637739496816,79.49462260503185,0.015753662785053302
5,28,0.325,101.69465311337315,False,6000,103.76516666666667,21.53822189672663,0.27805724904314055,-0.019953840193258715,0.019953840193258715,102.60241778625125,104.9279155470821,0.03081413003251887
5,28,0.525,146.14500774813692,False,6000,147.296,38.68025005465599,0.4993598809627373,-0.00781414466016099,0.00781414466016099,145.20783238519448,149.3841676148055,0.02168342146552582
5,28,0.725,254.42458294476472,False,6000,252.75066666666666,86.62955199835366,1.118382707263444,0.0066227966880327204,0.0066227966880327204,248.07393824033895,257.42739509299435,0.025599806047635454
5,28,0.94,751.2190556854704,False,6000,750.5265,412.8160298205842,5.32943202847529,0.0009227598032452212,0.0009227598032452212,728.2404738464496,772.8125261535505,0.03155356323118319
5,28,1.0,902.2917249737384,False,6000,900.327,543.6304738389375,7.0182392388968395,0.0021822348699287977,0.0021822348699287977,870.9789076715429,929.6750923284571,0.03595129230615535
5,28,1.06,761.7017764950504,True,66000,777.474393939394,420.9327288996538,1.6384784250570452,-0.020286992815834296,0.020286992815834296,770.6227870818999,784.326000796888,0.028845434524484848
5,28,1.275,422.47428715791705,False,6000,418.9338333333333,143.13265623720935,1.8478346463504765,0.008451105026331656,0.008451105026331656,411.2067639128073,426.6609027538594,0.027401113585522108
