k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
5,28,1.675,236.0065785719957,False,6000,234.83983333333333,55.99081479905907,0.7228383108577986,0.004968259524380967,0.004968259524380967,231.81714847414133,237.86251819252533,0.018072131960167326
5,28,1.875,196.4087936805532,False,6000,193.9315,41.179231366462574,0.5316215909731055,0.012774065484736634,0.012774065484736634,191.70842395420075,196.15457604579925,0.02451832647414265
5,56,0.325,205.73180152695429,False,6000,207.7025,30.152106372022807,0.38926201943972955,-0.009488082584685793,0.009488082584685793,206.0747273781772,209.3302726218228,0.01719039988721327
5,56,0.525,293.94705371965887,False,6000,295.47066666666666,54.414271642483214,0.70248522622448,-0.0051565624574389495,0.0051565624574389495,292.5330920732628,298.4082412600705,0.014949947500020877
5,56,0.725,509.09090909090907,False,6000,508.5751666666667,128.86380664645958,1.6636245902354354,0.001014092818614572,0.001014092818614572,501.6184063722149,515.5319269611185,0.014896787326319494
5,56,0.94,2083.0423319052047,False,6000,2136.5696666666668,1027.435465168366,13.264134819666506,-0.02505293208855287,0.02505293208855287,2081.103182824508,2192.0361505088254,0.049722637365410494
5,56,1.0,3609.4543455104226,False,6000,3589.624,2089.8263999722567,26.97954281185717,0.005524351717735014,0.005524351717735014,3476.8039483503494,3702.44405164965,0.03815297012160035
5,56,1.06,2515.6813555779636,False,6000,2495.5778333333333,1140.879199053568,14.728687126563086,0.008055658283267455,0.008055658283267455,2433.987047531726,2557.1686191349404,0.033563986352796116
5,56,1.275,1089.391013101133,False,6000,1080.5296666666666,287.6848783271236,3.7139958090555227,0.008200928403754864,0.008200928403754864,1064.9988920376734,1096.0604412956598,0.022903423886939445
5,56,1.675,561.7400609673637,False,6000,556.0943333333333,98.89771430222535,1.2767640015683261,0.010152463881782028,0.010152463881782028,550.7553036245702,561.4333630420965,0.01994489616441597
5,56,1.875,457.19270586949807,False,6000,451.31216666666666,70.29777389653262,0.9075403585890843,0.013029870757228454,0.013029870757228454,447.51711532557556,455.10721800775775,0.021620604469805293
5,112,0.325,414.8148148148148,False,6000,414.519,42.89827132430593,0.5538143014004135,0.0007136339101821042,0.0007136339101821042,412.2031209458579,416.8348790541421,0.006335939094696652
5,112,0.525,589.4736842105264,False,6000,588.6661666666666,76.33509609907466,0.9854818530761964,0.0013717750222206595,0.0013717750222206595,584.5451882520515,592.7871450812818,0.008431334407545732
5,112,0.725,1018.1818181818181,False,6000,1022.2288333333333,181.062490334709,2.3375066989638977,-0.003959010956791844,0.003959010956791844,1012.4541077811787,1032.003558885488,0.013393113409993163
5,112,0.94,4666.666666666662,False,6000,4583.495,1702.8285238014753,21.983421713766912,0.018145905398972297,0.018145905398972297,4491.567171923787,4675.422828076213,0.038984053458534396
5,112,1.0,14438.392273272628,False,6000,14415.124,8605.55996657667,111.09730145113565,0.0016141569973749789,0.0016141569973749789,13950.549660276742,14879.698339723258,0.03496941875953352
5,112,1.06,7331.730931620335,False,6000,7234.015833333333,2621.074473661909,33.83792595220648,0.013507725243943223,0.013507725243943223,7092.516157810025,7375.515508856641,0.03372777283656858
5,112,1.275,2592.9000661046007,False,6000,2614.8451666666665,520.0287243723507,6.71354196347867,-0.008392504780709764,0.008392504780709764,2586.7712235181975,2642.9191098151355,0.018925680897601715
5,112,1.675,1246.7059972228687,False,6000,1256.621,162.0964864028542,2.092656641056638,-0.00789020936076299,0.00789020936076299,1247.8701611894464,1265.3718388105538,0.014751269954949242
5,112,1.875,997.5836788259282,False,6000,1006.7001666666666,113.66082759945921,1.467354974696193,-0.009055812388433816,0.009055812388433816,1000.5641448227071,1012.8361885106261,0.0150592068665385
6,14,0.325,61.854946659286234,False,6000,62.0265,18.407369981294757,0.2376381246167764,-0.002765807206819088,0.002765807206819088,61.03277131897105,63.02022868102895,0.01849060287674742
6,14,0.525,87.68453809309979,False,6000,87.49416666666667,31.42922098876907,0.4057494982459174,0.002175818499516544,0.002175818499516544,85.79744853959723,89.19088479373612,0.021994704803274256
6,14,0.725,139.2046818060634,False,6000,138.40133333333333,63.44663251440898,0.8190925036708266,0.005804485068039413,0.005804485068039413,134.97614339537148,141.82652327129517,0.031328042899445574
6,14,0.94,233.93972830642855,False,6000,229.9415,124.99321966374943,1.6136555271551565,0.017388023938386756,0.017388023938386756,223.19369477631847,236.68930522368152,0.04814667162026964
6,14,1.0,241.50034454331396,False,6000,240.0105,134.27102879851793,1.7334315280493213,0.0062074140227779614,0.0062074140227779614,232.76182881645022,247.2591711835498,0.037542735298555785
6,14,1.06,227.60994918379947,False,6000,231.9185,127.97080114388426,1.6520959387702827,-0.018577866001205263,0.018577866001205263,225.00994893810707,238.82705106189292,0.04696746799920282
6,14,1.275,175.33292006433646,False,6000,174.30366666666666,76.32271382751372,0.9853219986377173,0.005904944040208402,0.005904944040208402,170.18335671356436,178.42397661976895,0.030258912799794757
6,14,1.675,116.67997688337786,False,6000,116.60566666666666,37.766394470668075,0.4875620561039911,0.0006372779199798502,0.0006372779199798502,114.56683388378173,118.6444994495516,0.01844463120749018
6,14,1.875,100.29562921562795,False,6000,101.06016666666666,29.61556561888883,0.38233530810156463,-0.007565171088233304,0.007565171088233304,99.46135939597613,102.65897393735719,0.023021316413812554
6,28,0.325,122.16290677455272,False,6000,124.59233333333333,26.508311708855228,0.34222083261490455,-0.01949900522595509,0.01949900522595509,123.1612723149742,126.02339435169246,0.0306331026631953
6,28,0.525,175.73341302725737,False,6000,175.947,47.40616079878521,0.6120109042710867,-0.0012139279029630087,0.0012139279029630087,173.38776086420307,178.50623913579693,0.015533496879233222
6,28,0.725,304.71325666262896,False,6000,305.5043333333333,106.58714330416144,1.3760341031228023,-0.0025894122746900772,0.0025894122746900772,299.7501869540341,311.2584797126325,0.021028256181313876
6,28,0.94,838.0157213527152,False,6000,836.6145,442.78855808871015,5.716375704562566,0.001674870986237027,0.001674870986237027,812.7103958150277,860.5186041849723,0.031136953172981263
6,28,1.0,966.7445584298621,False,6000,950.7335,517.6241412482779,6.682498928831652,0.016840742889423832,0.016840742889423832,922.7893691614232,978.6776308385769,0.04763296017203
6,28,1.06,847.5450536848912,False,6000,856.9063333333334,442.65033165307165,5.714591208951788,-0.01092450748033003,0.01092450748033003,833.0096913536466,880.80297531302,0.037758639060352484
6,28,1.275,527.157499130866,False,6000,518.8433333333334,181.59044845673282,2.344322609010875,0.016024424452209612,0.016024424452209612,509.04010576656333,528.6465609001034,0.0355912887001697
6,28,1.675,309.7079976606371,False,6000,307.3913333333333,77.42049586781886,0.9994943038372752,0.007536531047189957,0.007536531047189957,303.2117592104948,311.5709074561718,0.021424757625025048
6,28,1.875,260.635130388873,False,6000,259.48383333333334,58.905206695742955,0.7604629484583937,0.004436873930641759,0.004436873930641759,256.3038139489791,262.6638527176876,0.016899149385096957
6,56,0.325,246.38976020607674,False,6000,249.3485,37.027123604150866,0.47801811025613283,-0.011865881663307608,0.011865881663307608,247.349577028449,251.347422971551,0.01972434293084191
6,56,0.525,352.3648582962174,False,6000,353.3711666666667,65.34916337769431,0.8436540715013257,-0.0028477376350248052,0.0028477376350248052,349.84326789592154,356.8990654374118,0.012704452267582544
6,56,0.725,610.9090909090909,False,6000,609.8571666666667,153.77622471149425,1.985242524500889,0.0017248698546477247,0.0017248698546477247,601.5555002628595,618.1588330704739,0.015549006936424359
6,56,0.94,2417.906602671905,False,6000,2440.497,1159.7608030010742,14.97244758535767,-0.009256474123137499,0.009256474123137499,2377.886883821183,2503.107116178817,0.034037901516966174
6,56,1.0,3868.4645942326606,False,6000,3888.524,2142.9187810649846,27.664962504465944,-0.005158616937259301,0.005158616937259301,3772.837736507507,4004.2102634924927,0.033900734558687695
6,56,1.06,2924.6653996525583,False,6000,2910.2553333333335,1345.7033313652619,17.372955304378333,0.004951478364862198,0.004951478364862198,2837.607040943233,2982.903625723434,0.030680202527403777
6,56,1.275,1423.4066807877389,False,6000,1409.5996666666667,384.34102140765344,4.961821250587301,0.009794989632568592,0.009794989632568592,1388.8508743809216,1430.3484589524119,0.024880861613181038
6,56,1.675,766.19386692819,False,6000,761.155,146.16659132785233,1.8870025799489252,0.006620027363927232,0.006620027363927232,753.2641424707427,769.0458575292572,0.01716492758441568
6,56,1.875,630.8209261837496,False,6000,624.3638333333333,105.69536749746395,1.3645213269631686,0.010341875210713895,0.010341875210713895,618.657829801006,630.0698368656607,0.019660458167410466
6,112,0.325,497.77777777777777,False,6000,498.3545,52.07117306399684,0.6722359536478133,-0.0011572529639487588,0.0011572529639487588,495.5434184505392,501.16558154946074,0.006759849232281345
6,112,0.525,707.3684210526316,False,6000,708.1858333333333,93.32675900635356,1.204843277957068,-0.001154234160339422,0.001154234160339422,703.1475537080347,713.224112958632,0.008210170968154129
6,112,0.725,1221.8181818181818,False,6000,1223.8215,220.6760498050848,2.8489155526731063,-0.0016369365808806744,0.0016369365808806744,1211.9082217788134,1235.7347782211866,0.01126179876804756
6,112,0.94,5599.999999999995,False,6000,5541.259166666667,2077.0241278177846,26.81426618903088,0.010600629128968203,0.010600629128968203,5429.130250417411,5653.3880829159225,0.031472766668187324
6,112,1.0,15476.831097957067,False,6000,15361.954,8603.728201834705,111.073653470003,0.007478026425353652,0.007478026425353652,14897.478548774276,15826.429451225724,0.03888930246054678
6,112,1.06,9028.610672553821,False,6000,8828.429333333333,3270.5997124002624,42.22326072745661,0.0226746266705298,0.0226746266705298,8651.864797406699,9004.993869259968,0.04354504883849408
6,112,1.275,3529.3749514393076,False,6000,3545.254,728.1659431458324,9.40058190359742,-0.004478959352614045,0.004478959352614045,3505.943692064221,3584.5643079357787,0.015396391794196274
6,112,1.675,1756.6126287924353,False,6000,1767.4306666666666,242.95998872017734,3.136599967026629,-0.006120770720038422,0.006120770720038422,1754.3143817558373,1780.546951577496,0.013442118313058637
6,112,1.875,1416.9102474389026,False,6000,1424.6711666666667,174.61181971228663,2.2542288993221935,-0.00544751617731025,0.00544751617731025,1415.2446829554642,1434.0976503778693,0.011984820513748162
7,14,0.325,72.35290562186688,False,6000,71.92,21.3558800396685,0.2757032257907983,0.006019266154989984,0.006019266154989984,70.76709491222279,73.07290508777722,0.02240887112309875
7,14,0.525,101.94362303171584,False,6000,101.42433333333334,36.30298324271632,0.4686694983889575,0.005119971522769105,0.005119971522769105,99.46450334719955,103.38416331946712,0.024924667605914275
7,14,0.725,158.55859165820164,False,6000,158.26816666666667,68.99073517675346,0.8906665612739079,0.0018350183593560867,0.0018350183593560867,154.5436762945994,161.99265703873394,0.025979163042224807
7,14,0.94,250.8842097921896,False,6000,250.6085,133.33135953826738,1.72130045006301,0.0011001613759693551,0.0011001613759693551,243.41055720923748,257.8064427907625,0.030703896612535697
7,14,1.0,257.18088756127736,False,6000,254.78966666666668,135.0028260953495,1.7428789905274156,0.00938507799744894,0.00938507799744894,247.5014891352084,262.0778441981249,0.0391084452052779
7,14,1.06,244.6974721504646,False,6000,248.9555,132.51123999320745,1.710712752263289,-0.017103570114078256,0.017103570114078256,241.80183166640475,256.1091683335953,0.04455793698203869
