cell_id,date,mode,demand_kind,scale,formal_seed,replication_seed,block_count,formal_mean,replication_mean,difference_replication_minus_formal,welch_standard_error,welch_degrees_of_freedom,simultaneous_critical,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_halfwidth,contains_zero,formal_block_ci_halfwidth,replication_block_ci_halfwidth,precision_gate_pass,direct_replication_gate_pass,combined_gate_pass
2022-05-31-primary-hotspot-N40,2022-05-31,primary,hotspot,40,202607231012,202607241012,40,-0.03231484375,-0.03049075,0.001824093750000002,0.006173623350708825,77.99852327853166,3.4068762703331763,-0.01920867714550469,0.022856864645504692,0.02103277089550469,True,0.015504055441402516,0.015436740782480352,True,True,True
2022-05-31-primary-hotspot-N80,2022-05-31,primary,hotspot,80,202607231013,202607241013,40,-0.014655734374999998,-0.0205730546875,-0.0059173203125000035,0.004021718800292792,77.91631467942058,3.407015869520015,-0.019619380087844543,0.007784739462844534,0.013702059775344538,True,0.009911477337795675,0.010241803414694705,True,True,True
2022-05-31-primary-uniform-N10,2022-05-31,primary,uniform,10,202607231000,202607241000,40,0.0027465000000000024,-0.0047735000000000034,-0.007520000000000006,0.010496211203486957,75.39873112344199,3.4114436821934833,-0.043327233397104044,0.028287233397104032,0.03580723339710404,True,0.023734271737178857,0.028641126037035485,True,True,True
2022-05-31-primary-uniform-N20,2022-05-31,primary,uniform,20,202607231001,202607241001,40,0.013280125000000004,0.017183125,0.0039029999999999967,0.011642407062852057,68.97170819928,3.424270578719103,-0.035963751970795786,0.04376975197079578,0.03986675197079578,True,0.03404565274387578,0.023306868436743455,False,True,False
2022-05-31-primary-uniform-N40,2022-05-31,primary,uniform,40,202607231002,202607241002,40,0.020326374999999997,0.010012093750000003,-0.010314281249999994,0.010416557647300102,74.83617913638243,3.412475262122351,-0.045860526537882994,0.025231964037883005,0.035546245287883,True,0.02326498245178483,0.028660946863204848,True,True,True
2022-05-31-primary-uniform-N80,2022-05-31,primary,uniform,80,202607231003,202607241003,40,0.0219224140625,0.026301234375,0.0043788203125,0.010352340531047577,77.3915070744986,3.4079142834904435,-0.03090106885081408,0.03965870947581408,0.03527988916331408,True,0.027067568482303482,0.024765012768438448,True,True,True
2023-07-16-hub-hotspot-N10,2023-07-16,hub,hotspot,10,202607232110,202607242110,40,-0.010795500000000003,-0.020567,-0.009771499999999995,0.010810318291229555,77.78409573009316,3.407241032126434,-0.04660486005222425,0.02706186005222426,0.036833360052224255,True,0.02636623540821838,0.02779393528266789,True,True,True
2023-07-16-hub-hotspot-N20,2023-07-16,hub,hotspot,20,202607232111,202607242111,40,-0.029134125,-0.029498375,-0.00036425,0.010245470214326927,77.89914238806337,3.4070450684360982,-0.03527102876753149,0.034542528767531486,0.03490677876753149,True,0.026131866729487956,0.025207907930860536,True,True,True
2023-07-16-hub-hotspot-N40,2023-07-16,hub,hotspot,40,202607232112,202607242112,40,-0.037896687500000005,-0.037931781250000005,-3.5093749999999535e-05,0.0055696759143185216,77.85157666130836,3.4071260164309796,-0.019011681460763638,0.01894149396076364,0.01897658771076364,True,0.014258457210342143,0.013648901678890131,True,True,True
2023-07-16-hub-hotspot-N80,2023-07-16,hub,hotspot,80,202607232113,202607242113,40,-0.0232847265625,-0.021625640624999998,0.0016590859375000024,0.003447344644494349,77.98759317732583,3.406894813289923,-0.010085654651450589,0.013403826526450594,0.011744740588950591,True,0.00869298310136976,0.008584021555240434,True,True,True
