cell_id,k,N,p_bias,primary_seed,replication_seed,primary_repetitions,replication_repetitions,primary_blocks,replication_blocks,comparisons,primary_correction_ratio,replication_correction_ratio,difference,welch_standard_error,degrees_of_freedom,simultaneous_critical,ci_low,ci_high,contains_zero,primary_half_width,replication_half_width,precision_gate_pass,replication_gate_pass,gate_pass
k3-p2-N40,3,40,2.0,72938585240,72938585276,20000,20000,40,40,36,0.9797579189888872,0.9846200738782453,-0.00486215488935815,0.0074988780306633265,77.6323458453776,3.3163700373455525,-0.02973120930395883,0.020006899525242528,True,0.017615897857111734,0.01887292106924253,True,True,True
k3-p2-N80,3,80,2.0,72938585241,72938585277,20000,20000,40,40,36,0.9937450395173396,0.9920784467308336,0.0016665927865060493,0.007380986884755814,74.60662301119952,3.321382236612208,-0.022848485941189586,0.026181671514201685,True,0.015937444569301115,0.019791742133011447,True,True,True
k4-p1.25-N160,4,160,1.25,72938585246,72938585282,20000,20000,40,40,36,0.9229739036042467,0.9267326535298682,-0.0037587499256215295,0.004710390305400983,75.5853006284879,3.319715622336486,-0.019395906209763503,0.011878406358520444,True,0.012449625947175323,0.010391763862970263,True,True,True
k4-p1.25-N320,4,320,1.25,72938585247,72938585283,20000,20000,40,40,36,0.9457986900018682,0.9615875263159406,-0.015788836314072352,0.0050910080207273774,77.99595923989227,3.3157947412442623,-0.03266957393683255,0.0010919013086878454,True,0.012348842009656762,0.01243804782108943,True,True,True
k4-p1.25-N40,4,40,1.25,72938585244,72938585280,20000,20000,40,40,36,0.8261683098225328,0.8278602192371075,-0.0016919094145747549,0.003427761632528705,74.73397189813261,3.3211628153045387,-0.01307606388825667,0.00969224505910716,True,0.007421233577835688,0.009175376232265211,True,True,True
k4-p1.25-N80,4,80,1.25,72938585245,72938585281,20000,20000,40,40,36,0.8849143106447773,0.8830760423794501,0.001838268265327181,0.00429117558156568,72.68318559739365,3.324793137751247,-0.012429002861148107,0.016105539391802468,True,0.008922588192240405,0.011774662422411672,True,True,True
k4-p1.5-N160,4,160,1.5,72938585250,72938585286,20000,20000,40,40,36,0.9529399383568279,0.9484254608568985,0.004514477499929392,0.005416613030287565,77.85158679148425,3.3160224975809998,-0.013447133169194565,0.02247608816905335,True,0.012895096999037382,0.013470967707944004,True,True,True
k4-p1.5-N320,4,320,1.5,72938585251,72938585287,20000,20000,40,40,36,0.9642221627486721,0.9686332713742024,-0.004411108625530291,0.005337033142746968,77.50620882142734,3.3165709098674103,-0.022111757491763126,0.013289540240702544,True,0.013501012779054725,0.012463147272928708,True,True,True
k4-p1.5-N40,4,40,1.5,72938585248,72938585284,20000,20000,40,40,36,0.8844960282377954,0.8869111808097742,-0.0024151525719787736,0.004446589160047566,77.50517767031913,3.3165725547539346,-0.017162588142458884,0.012332282998501335,True,0.0112489065859961,0.010383291565293495,True,True,True
k4-p1.5-N80,4,80,1.5,72938585249,72938585285,20000,20000,40,40,36,0.9279707143501152,0.9251205373930269,0.002850176957088335,0.0046184611928141925,68.4789056403122,3.3329410909774335,-0.012542882129526738,0.01824323604370341,True,0.013173588959141239,0.008903584891267916,True,True,True
k4-p2-N160,4,160,2.0,72938585254,72938585290,20000,20000,40,40,36,0.9685685609721382,0.9726714923896417,-0.004102931417503508,0.005151700542001949,77.01005362842724,3.317367632999438,-0.021193016050446437,0.012987153215439421,True,0.013233148002875138,0.01180893470574627,True,True,True
k4-p2-N320,4,320,2.0,72938585255,72938585291,20000,20000,40,40,36,0.9725542800140428,0.9786242258627513,-0.006069945848708569,0.005076600666671245,73.14534285427338,3.3239566266493683,-0.022944346275543055,0.010804454578125917,True,0.010648197595434663,0.013859240917878839,True,True,True
k4-p2-N40,4,40,2.0,72938585252,72938585288,20000,20000,40,40,36,0.9270180604610783,0.9297341457880244,-0.002716085326946116,0.004585453034074179,76.86114408064827,3.3176088252926026,-0.017928824780755352,0.012496654126863122,True,0.011822697715067314,0.010461368489108456,True,True,True
k4-p2-N80,4,80,2.0,72938585253,72938585289,20000,20000,40,40,36,0.9538033381993689,0.9589908932622355,-0.005187555062866611,0.004698709720859023,77.51349726304454,3.316559284675224,-0.020771104413575336,0.010395994287842113,True,0.011882980457420478,0.010976068361648234,True,True,True
k5-p1.25-N160,5,160,1.25,72938585258,72938585294,20000,20000,40,40,36,0.8812597566455924,0.8818310231556783,-0.0005712665100858771,0.0034374957780753056,73.37333392664247,3.3235479777097905,-0.011995948651694002,0.010853415631522248,True,0.009360112915523397,0.0072417262397768915,True,True,True
k5-p1.25-N320,5,320,1.25,72938585259,72938585295,20000,20000,40,40,36,0.9183732252028134,0.9210767154192918,-0.0027034902164784214,0.00444251455219797,77.87868859339589,3.315979676323006,-0.01743477818333609,0.012027797750379248,True,0.010599269246072029,0.011026188800327035,True,True,True
k5-p1.25-N40,5,40,1.25,72938585256,72938585292,20000,20000,40,40,36,0.7495065126616967,0.7476183192817498,0.0018881933799468342,0.002176803600723254,74.39586831895672,3.321747073140951,-0.005342597609558317,0.009118984369451986,True,0.004679817860089134,0.005853404843693921,True,True,True
k5-p1.25-N80,5,80,1.25,72938585257,72938585293,20000,20000,40,40,36,0.8243640303669203,0.826576597871186,-0.0022125675042656834,0.0025751549577266494,77.98712616214371,3.3158086509433913,-0.010751288590615471,0.006326153582084104,True,0.006309088530454259,0.006228542162702116,True,True,True
k5-p1.5-N160,5,160,1.5,72938585262,72938585298,20000,20000,40,40,36,0.9215680935047456,0.9186161820060933,0.00295191149865226,0.0039260519734076755,72.57817461411545,3.324984747270553,-0.010102151429919716,0.016005974427224234,True,0.008147399917334144,0.010784889946334072,True,True,True
k5-p1.5-N320,5,320,1.5,72938585263,72938585299,20000,20000,40,40,36,0.9427518995860314,0.9457877350132581,-0.0030358354272266297,0.004074945527910469,76.19386282557197,3.318701606303165,-0.016559363696301,0.01048769284184774,True,0.010656356852064263,0.009124470019624535,True,True,True
k5-p1.5-N40,5,40,1.5,72938585260,72938585296,20000,20000,40,40,36,0.8289744415681815,0.8286441441772425,0.0003302973909389273,0.0027639876196971416,77.94240682562439,3.3158791217426353,-0.008834751449969947,0.009495346231847801,True,0.006819477380219082,0.0066365554008642426,True,True,True
k5-p1.5-N80,5,80,1.5,72938585261,72938585297,20000,20000,40,40,36,0.8812379681476316,0.8805385036968335,0.0006994644507980485,0.0034603792826803045,76.86516721247432,3.3176022962361227,-0.010780697803270036,0.012179626704866133,True,0.007895578181622743,0.008921045646584594,True,True,True
k5-p2-N160,5,160,2.0,72938585266,72938585302,20000,20000,40,40,36,0.9499563576694504,0.9449592998277317,0.004997057841718666,0.003923303289533829,77.99899243151208,3.3157899655417182,-0.008011791837494418,0.01800590752093175,True,0.009533691509558531,0.009568018556789999,True,True,True
k5-p2-N320,5,320,2.0,72938585267,72938585303,20000,20000,40,40,36,0.9644937610103252,0.9655927284323832,-0.0010989674220579504,0.004297325322798841,77.670525815488,3.3163093688540104,-0.015350227651069331,0.01315229280695343,True,0.010796690670832606,0.010114976178241888,True,True,True
k5-p2-N40,5,40,2.0,72938585264,72938585300,20000,20000,40,40,36,0.8836947661916079,0.881902571001692,0.0017921951899159128,0.0029155274150605855,76.27745787999434,3.318563622850477,-0.00788316803112743,0.011467558410959255,True,0.006542555150282467,0.007612179969921973,True,True,True
k5-p2-N80,5,80,2.0,72938585265,72938585301,20000,20000,40,40,36,0.922396508505108,0.9200394966087387,0.0023570118963692765,0.004150759801067054,74.02938309237219,3.322386613493327,-0.01143341690252213,0.01614744069526068,True,0.011213790058635285,0.008857560029874428,True,True,True
