k,N,p_bias,source,signed_relative_error_percent,absolute_relative_error_percent,uncertainty_aware_error_upper_percent,top20_conservative_bound
7,28,0.725,blind2,0.09346826407842124,0.09346826407842124,2.0503578877397954,False
7,28,0.94,blind2,1.0707157317862679,1.0707157317862679,3.9178375128438914,False
7,28,1.0,blind2,-0.42246634634962743,0.42246634634962743,3.2313808863782323,False
7,28,1.06,blind2,-0.9384637788395246,0.9384637788395246,3.5343462616190147,False
7,28,1.275,blind2,1.7670315795450278,1.7670315795450278,3.833229991241538,False
7,28,1.675,blind2,0.21477020399977828,0.21477020399977828,1.6776751640781518,False
7,28,1.875,blind2,-0.25296798195856807,0.25296798195856807,1.5227906547253922,False
7,56,0.325,blind2,-1.1629990666616525,1.1629990666616525,1.9712407989499692,False
7,56,0.525,blind2,-0.40096369708063445,0.40096369708063445,1.4083927688629982,False
7,56,0.725,blind2,-0.026519325932221165,0.026519325932221165,1.3893040354454822,False
7,56,0.94,blind2,-0.9331044514247676,0.9331044514247676,3.338111354016493,False
7,56,1.0,blind2,-0.27660631558586146,0.27660631558586146,3.068783187231372,False
7,56,1.06,blind2,0.42247880514668007,0.42247880514668007,2.9407327265697836,False
7,56,1.275,blind2,1.106072509132831,1.106072509132831,2.6868343224373703,False
7,56,1.675,blind2,0.20442369536344457,0.20442369536344457,1.2838805875946546,False
7,56,1.875,blind2,0.935952547145474,0.935952547145474,1.9319376395793286,False
7,112,0.325,blind2,-0.17351536514547095,0.17351536514547095,0.7535994369563981,False
7,112,0.525,blind2,-0.11810651703237861,0.11810651703237861,0.8472264325221301,False
7,112,0.725,blind2,-0.226358268121757,0.226358268121757,1.1953566959412076,False
7,112,0.94,blind2,1.2396800349325638,1.2396800349325638,3.3205627738562837,False
7,112,1.0,blind2,-0.13971139538078425,0.13971139538078425,2.991332653075318,False
7,112,1.06,blind2,2.037244709363818,2.037244709363818,4.161110694379988,False
7,112,1.275,blind2,0.18565717337417093,0.18565717337417093,1.390410718654378,False
7,112,1.675,blind2,-0.12328169722627355,0.12328169722627355,0.9092254150562584,False
7,112,1.875,blind2,0.21423697719310553,0.21423697719310553,0.9288504264526765,False
7,128,0.3,boundary_confirmation,-0.09397410560690966,0.09397410560690966,0.5543837373167659,False
7,128,0.975,boundary_confirmation,-2.5914031621396867,2.5914031621396867,4.716924180873794,True
7,128,1.025,boundary_confirmation,-0.5103465795461949,0.5103465795461949,2.5520275435536366,False
7,128,1.9,boundary_confirmation,-0.3992399383831183,0.3992399383831183,0.9653960787725069,False
8,10,0.3,boundary_confirmation,0.5446196072436932,0.5446196072436932,2.193825377507763,False
8,10,0.975,boundary_confirmation,-1.6233405797568219,1.6233405797568219,3.9438181405696326,False
8,10,1.025,boundary_confirmation,0.6699942837125491,0.6699942837125491,3.1266406922984658,False
8,10,1.9,boundary_confirmation,0.8897935671855062,0.8897935671855062,2.5442721066242457,False
8,14,0.325,blind2,-0.009371268144486784,0.009371268144486784,1.6667562355953125,False
8,14,0.525,blind2,0.8177051665089893,0.8177051665089893,2.8494277580084493,False
8,14,0.725,blind2,-0.41210438841334224,0.41210438841334224,2.6627439629249405,False
8,14,0.94,blind2,1.1547895964716526,1.1547895964716526,4.020201224064235,False
8,14,1.0,blind2,-0.5308477505357971,0.5308477505357971,3.2655180250847793,False
8,14,1.06,fresh_precision_confirmation,-1.6073761293448143,1.6073761293448143,2.4558366463358627,False
8,14,1.275,blind2,0.47157638081565856,0.47157638081565856,2.849019821175003,False
8,14,1.675,blind2,0.8001835375764866,0.8001835375764866,2.7440739478702847,False
8,14,1.875,blind2,0.4434637313462512,0.4434637313462512,2.185667641581346,False
8,28,0.325,blind2,-1.2782070316185412,1.2782070316185412,2.4181244518193257,False
8,28,0.525,blind2,-0.05834463488423549,0.05834463488423549,1.4828331801765016,False
8,28,0.725,blind2,0.019901647510650468,0.019901647510650468,1.9482320126626762,False
8,28,0.94,blind2,0.02629131502080965,0.02629131502080965,2.7633745993429493,False
8,28,1.0,blind2,-0.1411896131963597,0.1411896131963597,2.867646706535576,False
8,28,1.06,blind2,-1.5498963060159945,1.5498963060159945,4.095088251908363,False
8,28,1.275,blind2,2.275564361116278,2.275564361116278,4.36731116344844,False
8,28,1.675,blind2,-0.05616259940885721,0.05616259940885721,1.4806619960291756,False
8,28,1.875,blind2,-0.37477639490974174,0.37477639490974174,1.6980118861340765,False
8,56,0.325,blind2,-1.2557179661472442,1.2557179661472442,2.0713779346203665,False
8,56,0.525,blind2,-0.770898745841674,0.770898745841674,1.7819331556102158,False
8,56,0.725,blind2,0.30750893876857266,0.30750893876857266,1.6964069112285873,False
8,56,0.94,blind2,-0.6144594788354039,0.6144594788354039,2.9886159924143896,False
8,56,1.0,blind2,1.8116131880779565,1.8116131880779565,4.6816683746784715,True
8,56,1.06,blind2,-0.59376961385764,0.59376961385764,2.9178554403512136,False
8,56,1.275,blind2,0.8544769383423741,0.8544769383423741,2.4646725101282962,False
8,56,1.675,blind2,0.5235036128049484,0.5235036128049484,1.671397614506387,False
8,56,1.875,blind2,0.6263628382829955,0.6263628382829955,1.649045957770312,False
8,112,0.325,blind2,-0.12614647325471298,0.12614647325471298,0.7235230363791811,False
8,112,0.525,blind2,0.041144153594430584,0.041144153594430584,0.7711190944902135,False
8,112,0.725,blind2,0.09835650359232882,0.09835650359232882,1.0749196351068413,False
8,112,0.94,blind2,0.8878038997394467,0.8878038997394467,2.9825475311761496,False
8,112,1.0,blind2,0.9278282792440525,0.9278282792440525,3.812631499408914,False
8,112,1.06,blind2,1.265290742776801,1.265290742776801,3.4147345422088637,False
8,112,1.275,blind2,-0.24539300757154092,0.24539300757154092,1.4459085690122442,False
8,112,1.675,blind2,-0.08921123509383896,0.08921123509383896,0.9251639975810577,False
8,112,1.875,blind2,0.16197615246945488,0.16197615246945488,0.9090383800809176,False
8,128,0.3,boundary_confirmation,-0.0862877845680805,0.0862877845680805,0.5551616687177519,False
8,128,0.975,boundary_confirmation,-0.7234956617564531,0.7234956617564531,2.7694155145319255,False
8,128,1.025,boundary_confirmation,-0.9578551408843266,0.9578551408843266,2.9818261143172875,False
8,128,1.9,boundary_confirmation,-0.19278423258887747,0.19278423258887747,0.7826216790693175,False
9,10,0.3,boundary_confirmation,0.7300406431781223,0.7300406431781223,2.3796911334694304,False
9,10,0.975,boundary_confirmation,-0.3669880759039385,0.3669880759039385,2.631848274190618,False
9,10,1.025,boundary_confirmation,-0.5596448146618794,0.5596448146618794,2.821538079483177,False
9,10,1.9,boundary_confirmation,1.1148698124983358,1.1148698124983358,2.8337662568402866,False
9,14,0.325,blind2,0.09898636659069633,0.09898636659069633,1.806967875570864,False
