panel,k,N,p_bias,mc_mean,formula_mean
N=14,48,14,0.94,788.3708333333333,785.4505525078999
N=14,49,14,0.94,796.3473333333334,796.2382886710697
N=14,50,14,0.94,810.221,806.9293041865749
N=14,3,14,1.0,196.29201666666665,196.0
N=14,4,14,1.0,208.23416666666665,209.20586260090778
N=14,5,14,1.0,224.27996666666667,225.5370005415008
N=14,6,14,1.0,240.0105,241.50034454331396
N=14,7,14,1.0,254.78966666666668,257.18088756127736
N=14,8,14,1.0,274.08433333333335,272.6293628152623
N=14,9,14,1.0,289.8953333333333,287.878494272313
N=14,10,14,1.0,305.3946666666667,302.9506256274009
N=14,11,14,1.0,319.05583333333334,317.86169372873485
N=14,12,14,1.0,330.762,332.6234657556173
N=14,13,14,1.0,346.793,347.2448778337317
N=14,14,14,1.0,364.7393333333333,361.7328761548416
N=14,15,14,1.0,375.10316666666665,376.0929672038744
N=14,16,14,1.0,391.339,390.3295900449453
N=14,17,14,1.0,409.2083333333333,404.4463755454211
N=14,18,14,1.0,419.1095,418.44633139297235
N=14,19,14,1.0,433.97816666666665,432.3319770225369
N=14,20,14,1.0,447.79133333333334,446.1054438938943
N=14,21,14,1.0,462.71133333333336,459.7685512778411
N=14,22,14,1.0,480.38916666666665,473.3228643959201
N=14,23,14,1.0,489.23266666666666,486.76973962574345
N=14,24,14,1.0,498.99066666666664,500.11036007835185
N=14,25,14,1.0,516.755,513.3457639081081
N=14,26,14,1.0,529.3145,526.4768670668734
N=14,27,14,1.0,542.1143333333333,539.5044817615491
N=14,28,14,1.0,554.0528333333333,552.4293315532483
N=14,29,14,1.0,567.3353333333333,565.2520638056969
N=14,30,14,1.0,575.2303333333333,577.9732600224038
N=14,31,14,1.0,589.067,590.5934444882174
N=14,32,14,1.0,599.297,603.1130915384549
N=14,33,14,1.0,612.4766666666667,615.5326317091253
N=14,34,14,1.0,633.5636666666667,627.8524569687686
N=14,35,14,1.0,642.04,640.0729251917113
N=14,36,14,1.0,648.6396666666667,652.1943640010156
N=14,37,14,1.0,659.9666666666667,664.2170740847864
N=14,38,14,1.0,672.1575,676.1413320701334
N=14,39,14,1.0,691.1643333333334,687.9673930237587
N=14,40,14,1.0,694.8906666666667,699.695492635902
N=14,41,14,1.0,712.1798333333334,711.3258491345798
N=14,42,14,1.0,727.6685,722.8586649691179
N=14,43,14,1.0,737.4026666666666,734.2941282955655
N=14,44,14,1.0,748.6013333333333,745.6324142913234
N=14,45,14,1.0,756.7208333333333,756.8736863220204
N=14,46,14,1.0,770.6875,768.0180969801311
N=14,47,14,1.0,776.5911666666667,779.0657890118841
N=14,48,14,1.0,791.5145,790.0168961465814
N=14,49,14,1.0,796.5301666666667,800.8715438403977
N=14,50,14,1.0,813.4291666666667,811.6298499450374
N=14,3,14,1.06,178.753,177.49091703750327
N=14,4,14,1.06,196.38013333333333,189.405560117167
N=14,5,14,1.06,213.83228333333332,209.5342389641688
N=14,6,14,1.06,231.9185,227.60994918379947
N=14,7,14,1.06,248.9555,244.6974721504646
N=14,8,14,1.06,265.45085,261.1840564019571
N=14,9,14,1.06,282.2796666666667,277.2462801430545
N=14,10,14,1.06,296.977,292.9798402219231
N=14,11,14,1.06,312.92333333333335,308.4432627425598
N=14,12,14,1.06,330.951,323.67541698538196
N=14,13,14,1.06,345.55083333333334,338.7036350888323
N=14,14,14,1.06,359.38466666666665,353.5479427595062
N=14,15,14,1.06,373.31166666666667,368.2234727004421
N=14,16,14,1.06,387.53833333333336,382.7419402541062
N=14,17,14,1.06,399.9646666666667,397.1125950336224
N=14,18,14,1.06,423.14366666666666,411.3428606518009
N=14,19,14,1.06,429.1105,425.4387792358702
N=14,20,14,1.06,444.8895,439.40532873290346
N=14,21,14,1.06,456.59816666666666,453.2466545511136
N=14,22,14,1.06,469.59183333333334,466.96624192042395
N=14,23,14,1.06,481.907,480.567046275777
N=14,24,14,1.06,501.6268333333333,494.05159332381334
N=14,25,14,1.06,513.1376666666666,507.4220568351848
N=14,26,14,1.06,523.2245,520.6803198216488
N=14,27,14,1.06,543.1553333333334,533.8280231508272
N=14,28,14,1.06,554.7965,546.8666045467933
N=14,29,14,1.06,565.6893333333334,559.7973301512174
N=14,30,14,1.06,573.5126666666666,572.6213202696215
N=14,31,14,1.06,587.71,585.3395705303193
N=14,32,14,1.06,596.7193333333333,597.952969393444
N=14,33,14,1.06,617.5333333333333,610.4623127328272
N=14,34,14,1.06,625.563,622.8683160530318
N=14,35,14,1.06,641.137,635.1716247826342
N=14,36,14,1.06,650.266,647.3728229924728
N=14,37,14,1.06,658.9331666666667,659.4724408165584
N=14,38,14,1.06,669.8415,671.4709607982834
N=14,39,14,1.06,685.3425,683.3688233415776
N=14,40,14,1.06,693.2465,695.1664314128371
N=14,41,14,1.06,707.3088333333334,706.8641546126969
N=14,42,14,1.06,719.0748333333333,718.4623327153545
N=14,43,14,1.06,728.8886666666667,729.9612787560883
N=14,44,14,1.06,743.3835,741.3612817337967
N=14,45,14,1.06,753.3523333333334,752.6626089842356
N=14,46,14,1.06,771.4481666666667,763.8655082705193
N=14,47,14,1.06,776.1105,774.9702096300059
N=14,48,14,1.06,787.6735,785.976927010559
N=14,49,14,1.06,801.0413333333333,796.8858597241193
N=14,50,14,1.06,810.901,807.6971937413243
N=14,3,14,1.875,35.237833333333334,35.2816211192346
N=14,4,14,1.875,56.815333333333335,56.47547310079028
N=14,5,14,1.875,78.3255,78.2422911272871
