panel,k,N,p_bias,mc_mean,formula_mean
N=14,6,14,1.875,101.06016666666666,100.29562921562795
N=14,7,14,1.875,121.515,122.23002733660987
N=14,8,14,1.875,143.10083333333333,143.7354336284209
N=14,9,14,1.875,163.96866666666668,164.64061036835653
N=14,10,14,1.875,182.75666666666666,184.8853215819528
N=14,11,14,1.875,204.2365,204.47712773466316
N=14,12,14,1.875,222.6305,223.45758718242317
N=14,13,14,1.875,243.06016666666667,241.88131000734697
N=14,14,14,1.875,258.03066666666666,259.80464175576236
N=14,15,14,1.875,278.4898333333333,277.2802727698415
N=14,16,14,1.875,293.6091666666667,294.35512644688777
N=14,17,14,1.875,310.64416666666665,311.0699206407248
N=14,18,14,1.875,327.8321666666667,327.45950735913163
N=14,19,14,1.875,344.4071666666667,343.55352044739396
N=14,20,14,1.875,360.15933333333334,359.37709754344985
N=14,21,14,1.875,376.5203333333333,374.95156869776673
N=14,22,14,1.875,388.174,390.29506877010414
N=14,23,14,1.875,403.2795,405.42306249408676
N=14,24,14,1.875,422.55216666666666,420.3487856760627
N=14,25,14,1.875,435.9121666666667,435.0836118352026
N=14,26,14,1.875,452.2278333333333,449.6373551640665
N=14,27,14,1.875,465.6383333333333,464.01852030517273
N=14,28,14,1.875,475.06733333333335,478.23450826867554
N=14,29,14,1.875,492.26466666666664,492.291786429581
N=14,30,14,1.875,504.113,506.19602920155603
N=14,31,14,1.875,523.0908333333333,519.9522347937684
N=14,32,14,1.875,531.7621666666666,533.5648224465845
N=14,33,14,1.875,547.266,547.0377137056701
N=14,34,14,1.875,555.3255,560.3744006122847
N=14,35,14,1.875,570.8765,573.5780031365978
N=14,36,14,1.875,586.5948333333333,586.6513177377473
N=14,37,14,1.875,603.5345,599.5968585787579
N=14,38,14,1.875,611.5156666666667,612.4168926391907
N=14,39,14,1.875,628.1321666666666,625.1134697394167
N=14,40,14,1.875,638.4881666666666,637.6884483062686
N=14,41,14,1.875,649.5378333333333,650.1435175614613
N=14,42,14,1.875,662.2581666666666,662.4802166942515
N=14,43,14,1.875,674.3408333333333,674.6999514826521
N=14,44,14,1.875,690.1043333333333,686.8040087485178
N=14,45,14,1.875,702.9001666666667,698.7935689673825
N=14,46,14,1.875,714.6858333333333,710.6697173012071
N=14,47,14,1.875,722.9828333333334,722.4334532788888
N=14,48,14,1.875,741.366,734.0856993137224
N=14,49,14,1.875,742.378,745.6273082174957
N=14,50,14,1.875,755.7181666666667,757.0590698464546
N=56,3,56,0.325,124.36066666666666,124.44444444444439
N=56,4,56,0.325,165.59166666666667,165.0161331061646
N=56,5,56,0.325,207.7025,205.73180152695429
N=56,6,56,0.325,249.3485,246.38976020607674
N=56,7,56,0.325,290.39383333333336,287.0165557620237
N=56,8,56,0.325,331.7945,327.6280968528116
N=56,9,56,0.325,372.04333333333335,368.2342143201539
N=56,10,56,0.325,415.06166666666667,408.8411499181834
N=56,11,56,0.325,457.692,449.45296644794445
N=56,12,56,0.325,497.73766666666666,490.07237317304964
N=56,13,56,0.325,539.9333333333333,530.701222638575
N=56,14,56,0.325,578.553,571.3408169168474
N=56,15,56,0.325,623.7881666666667,611.9921002506238
N=56,16,56,0.325,664.5788333333334,652.6557823351839
N=56,17,56,0.325,706.3558333333333,693.3324183570218
N=56,18,56,0.325,748.1571666666666,734.022461576132
N=56,19,56,0.325,789.4625,774.7262981964401
N=56,20,56,0.325,829.0461666666666,815.4442706521666
N=56,21,56,0.325,871.0835,856.1766932277998
N=56,22,56,0.325,914.8426666666667,896.9238625534558
N=56,23,56,0.325,952.324,937.6860646463408
N=56,24,56,0.325,996.786,978.4635796092001
N=56,25,56,0.325,1037.7566666666667,1019.2566847318708
N=56,26,56,0.325,1081.4936666666667,1060.0656565014574
N=56,27,56,0.325,1119.3625,1100.8907718661726
N=56,28,56,0.325,1162.2886666666666,1141.732308989806
N=56,29,56,0.325,1202.3883333333333,1182.5905476603095
N=56,30,56,0.325,1244.4218333333333,1223.4657694656887
N=56,31,56,0.325,1282.0996666666667,1264.358257815683
N=56,32,56,0.325,1328.2395,1305.2682978636642
N=56,33,56,0.325,1372.5365,1346.1961763664026
N=56,34,56,0.325,1409.2516666666668,1387.1421815076178
N=56,35,56,0.325,1454.3346666666666,1428.1066027030163
N=56,36,56,0.325,1494.2216666666666,1469.0897303987247
N=56,37,56,0.325,1531.7126666666666,1510.0918558709789
N=56,38,56,0.325,1575.2861666666668,1551.1132710320865
N=56,39,56,0.325,1616.6475,1592.1542682456907
N=56,40,56,0.325,1660.1276666666668,1633.2151401529954
