k,N,p_bias,absolute_relative_error_percent
40,14,1.0,0.6914506410459823
41,14,1.0,0.11991131435953573
42,14,1.0,0.6609926128288006
43,14,1.0,0.42155236367028914
44,14,1.0,0.3965954787697319
45,14,1.0,0.020199389517764416
46,14,1.0,0.3463664610972571
47,14,1.0,0.31865187906259035
48,14,1.0,0.1892073807136296
49,14,1.0,0.5450361273696571
50,14,1.0,0.22120140208429026
3,14,1.06,0.7060485488337092
4,14,1.06,3.5515676141882313
5,14,1.06,2.0100072365894843
6,14,1.06,1.8577866001205263
7,14,1.06,1.7103570114078255
8,14,1.06,1.6073761293448143
9,14,1.06,1.7831204716406046
10,14,1.06,1.3459492748855562
11,14,1.06,1.431683135626474
12,14,1.06,2.1983867746639425
13,14,1.06,1.981531393934142
14,14,1.06,1.6240881842001513
15,14,1.06,1.3629882000896285
16,14,1.06,1.2376564243263153
17,14,1.06,0.7130808970736401
18,14,1.06,2.7888414608275136
19,14,1.06,0.8556585690934657
20,14,1.06,1.2327041359925426
21,14,1.06,0.7340178652096525
22,14,1.06,0.5591220346129074
23,14,1.06,0.27805234707588683
24,14,1.06,1.5101345275295892
25,14,1.06,1.1138550534811367
26,14,1.06,0.4862502001246524
27,14,1.06,1.7172454379237405
28,14,1.06,1.429334080731722
29,14,1.06,1.041561654945355
30,14,1.06,0.15541878128442504
31,14,1.06,0.40333318638116483
32,14,1.06,0.2067363987051498
33,14,1.06,1.1450427400150271
34,14,1.06,0.4307614016443127
35,14,1.06,0.930436898411058
36,14,1.06,0.4449220791994552
37,14,1.06,0.08184049265872735
38,14,1.06,0.24326065170393135
39,14,1.06,0.28798398733806696
40,14,1.06,0.2769478696015303
41,14,1.06,0.06286910323752809
42,14,1.06,0.08517898132237053
43,14,1.06,0.14715719127954177
44,14,1.06,0.27202894148220497
45,14,1.06,0.09155402042043016
46,14,1.06,0.9829122323164154
47,14,1.06,0.14692371382607125
48,14,1.06,0.2153903856662612
49,14,1.06,0.5187589499186094
50,14,1.06,0.39509215781897256
3,14,1.275,0.8405618713447822
4,14,1.275,1.1103186337923825
5,14,1.275,1.1396984820069311
6,14,1.275,0.5904944040208402
7,14,1.275,1.4231015795784472
8,14,1.275,0.47157638081565856
9,14,1.275,0.00568765518292698
10,14,1.275,0.48028511342657193
11,14,1.275,0.12404319010321893
12,14,1.275,0.5704537010788681
13,14,1.275,0.6966540786890433
14,14,1.275,1.3113991499690647
15,14,1.275,1.1889133686694806
16,14,1.275,1.7764194340276274
17,14,1.275,1.0333726883437555
18,14,1.275,1.0703506701121837
19,14,1.275,0.6341236112096699
20,14,1.275,1.1565524163869523
21,14,1.275,1.3452029216268573
22,14,1.275,1.5418584843677527
23,14,1.275,1.4181989607243282
24,14,1.275,1.028504426138499
25,14,1.275,1.154016518053612
26,14,1.275,0.6928887910488594
27,14,1.275,0.3603251008118657
28,14,1.275,0.9362149147577301
29,14,1.275,0.5287342614613938
30,14,1.275,1.0063707375028899
31,14,1.275,0.38295149815771123
32,14,1.275,1.2409232772286112
33,14,1.275,1.0673426453391675
34,14,1.275,0.2706927125908543
35,14,1.275,0.2849522453947331
36,14,1.275,0.2986424294593016
37,14,1.275,1.0931385411564873
38,14,1.275,1.2403628596641072
39,14,1.275,0.7460121272968798
40,14,1.275,0.3769855855399346
41,14,1.275,0.18593963229086743
42,14,1.275,0.1901175617529375
43,14,1.275,0.10250146319956506
44,14,1.275,0.4595742390998431
45,14,1.275,0.49841432949953407
46,14,1.275,0.7770922711739376
47,14,1.275,0.38640354494385903
48,14,1.275,0.25843513957267394
49,14,1.275,0.2187039444429912
50,14,1.275,0.46870808628642935
3,14,1.675,0.2706476152076574
4,14,1.675,0.8119994988470624
5,14,1.675,0.16301289292459165
6,14,1.675,0.06372779199798502
7,14,1.675,0.746733737743722
8,14,1.675,0.8001835375764866
9,14,1.675,1.6782841224665015
10,14,1.675,0.619034122527063
11,14,1.675,0.5701988457070352
12,14,1.675,0.8715337951831912
13,14,1.675,1.2428217147420861
14,14,1.675,0.814247482368485
15,14,1.675,0.03992842329433892
16,14,1.675,0.39188901834947326
17,14,1.675,0.2997997471224424
18,14,1.675,0.5250991654098589
19,14,1.675,0.14086136121751203
20,14,1.675,0.3025311090821019
21,14,1.675,0.5337682420601231
22,14,1.675,0.5248881757588523
23,14,1.675,0.23616383175819738
24,14,1.675,0.21427919381163668
25,14,1.675,0.12967000869213113
26,14,1.675,0.261995878554585
27,14,1.675,0.01979329576723216
28,14,1.675,0.3024752826045556
29,14,1.675,0.5468036452637774
30,14,1.675,0.16652726805177934
31,14,1.675,0.054820523463680174
32,14,1.675,0.1439929138410351
33,14,1.675,0.3632210720905083
34,14,1.675,0.16852167397957574
35,14,1.675,0.06198375855750762
36,14,1.675,0.297014645215673
37,14,1.675,0.14023491082287115
38,14,1.675,0.27499637183999354
39,14,1.675,0.07931931948598647
40,14,1.675,0.3547921881849259
41,14,1.675,0.6611489498970249
42,14,1.675,0.27453878898078543
43,14,1.675,0.9743911991824586
44,14,1.675,0.23865499393801898
45,14,1.675,0.17425279073332203
46,14,1.675,0.8199160543334397
47,14,1.675,0.5267122172766597
48,14,1.675,0.13920985082012965
49,14,1.675,0.11575790884402731
50,14,1.675,0.6263550348610589
3,14,1.875,0.12426355924626238
4,14,1.875,0.5981839982335515
5,14,1.875,0.1062347162966108
6,14,1.875,0.7565171088233305
7,14,1.875,0.5884272201866967
8,14,1.875,0.4434637313462512
9,14,1.875,0.4098000644573487
10,14,1.875,1.1647481616463502
11,14,1.875,0.11781818365627582
12,14,1.875,0.37150668143994475
13,14,1.875,0.4850061100041921
14,14,1.875,0.6875055248325909
15,14,1.875,0.4343284453203262
16,14,1.875,0.2540655622881047
17,14,1.875,0.1370551968274929
18,14,1.875,0.11367380795002094
19,14,1.875,0.24785959814213657
20,14,1.875,0.21719159202227717
21,14,1.875,0.41664805235837504
22,14,1.875,0.5464221637987499
23,14,1.875,0.5315327196365746
24,14,1.875,0.5214459099773454
25,14,1.875,0.19007380266531274
26,14,1.875,0.5728259028579953
27,14,1.875,0.3478693467019667
28,14,1.875,0.6666791659025574
29,14,1.875,0.0055091833216482046
30,14,1.875,0.4132068011648242
31,14,1.875,0.6000102352328668
32,14,1.875,0.33899662159451865
33,14,1.875,0.04171395524843589
34,14,1.875,0.909178601069946
35,14,1.875,0.4732202388078346
36,14,1.875,0.009629202509841913
37,14,1.875,0.652430212563179
38,14,1.875,0.14737577819330921
39,14,1.875,0.48058308226266844
40,14,1.875,0.1252518687344078
41,14,1.875,0.09324849101086247
42,14,1.875,0.03352922451715
43,14,1.875,0.053254694298075354
44,14,1.875,0.47823559792391074
