snapshot,mode,edge_index,left_node_index,right_node_index,left_node_id,right_node_id,scid,htlc_maximum_msat
20201014.gml.geo,hub,30,27,30,0209ad56880f6f4544074bffdf14a775cd2de30cd61e2e785b67ff03826835df12,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,632668x1648x0/0,31024000
20201014.gml.geo,hub,31,28,30,0209bec6f15a4545a3ec1b29960b20c0d97ef86e27f9ab4e59a41139525a08b85b,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651197x1526x0/0,60724000
20201014.gml.geo,hub,32,29,30,0209faa30755c89418d396f31e4395df51cc79b72890e1fc02de1fdde1448cebc4,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,645903x1903x0/0,2277000000
20220531.gml.geo,primary,0,0,28,0202a10e9dc29df67d6bff9f3e99e3bf7ccbd7cf3d73f3e3fcab761ac52f19a801,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,652628x1943x0/1,99000000
20220531.gml.geo,primary,1,1,28,020449065769190db5d94f9c9354da8be05642dbed834d7aaf3e02c32ce61f7127,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,657002x1180x0/1,99000000
20220531.gml.geo,primary,2,2,28,0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,698755x747x0/0,10000000
20220531.gml.geo,primary,3,3,28,0205fe16bb484fdda40347afac284cd8c8a668277eb6cbf6c1483b4fc3028b0b51,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,663170x407x0/0,99000000
20220531.gml.geo,primary,4,4,28,02085de2c96e7aa2d4d9390947262de00c572fb8edb8e24ff489236dab8ee21fa9,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,676500x1195x1/1,198000000
20220531.gml.geo,primary,5,5,28,0208a97d43dc2062d9c8ff4589d6f77202ba0e9f1c0c418d428442bf028345c80f,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,735237x266x0/0,332036000
20220531.gml.geo,primary,6,6,28,0209935d1cf5328ad835d6fa0422850ac2dd1c6cafc24380a068992a3bd0fd2b34,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,682628x1604x1/0,742500000
20220531.gml.geo,primary,7,7,28,020b6124e01894ab4f0eb17362531868b94a148636accdd6d5a489ffac3c188c51,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,676694x1548x0/0,99000000
20220531.gml.geo,primary,8,8,28,020b89502397dede9af0a453e438f611209a91db26d7b5f6de26a43de5ffe6af20,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,713858x1891x0/1,247500000
20220531.gml.geo,primary,9,9,28,020c808d86adb38265193bd06b468e4bcbfa193867c66051f02f5fd9414aaa7dc7,0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,676696x1953x0/1,99000000
