experiment_id,pipeline_version,regime,regime_label_cn,regime_id,alpha,scale,amplitude,forward_route,reverse_route,kernel_sha256,minimum_probability,probability_sum_error,reverse_increment_error,scaled_drift_vector_json,expected_scaled_drift_vector_json,scaled_drift_error,float64_direct_scaled_drift_error,raw_second_moment_error,covariance_identity_error,minimum_normal_variance,initial_scale_error,initial_capacity_error,deterministic_gate_pass,stage,seed,repetitions
network-phase-closure-20260728,1.0,critical,临界扩散,2,1.0,50,0.4,0->2->3,3->2->0,d97063d8046f5cacd1462ab634f54aeda0925a66335edc9ecdd730add9ed2888,0.042,2.220446049250313e-16,0.0,"[-0.8,0.0,0.8,-0.8,0.8,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",0.0,1.9984014443252818e-15,5.551115123125783e-17,2.220446049250313e-16,0.39974399999999977,0.0,0,True,primary,202607300050,8000
network-phase-closure-20260728,1.0,critical,临界扩散,2,1.0,100,0.4,0->2->3,3->2->0,c064ec74f599ee1eaf51a86b0299a34b062063406194075a242fdb4ba232e0dd,0.046,2.220446049250313e-16,0.0,"[-0.8000000000000007,0.0,0.8000000000000007,-0.8000000000000007,0.8000000000000007,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",6.661338147750939e-16,3.4416913763379853e-15,0.0,1.6653345369377348e-16,0.3999359999999998,0.0,0,True,primary,202607300100,8000
network-phase-closure-20260728,1.0,critical,临界扩散,2,1.0,200,0.4,0->2->3,3->2->0,6b4e53677e915d2dc3a10925278c60305b6b00b00f4e051198b38784a593a110,0.048,2.220446049250313e-16,0.0,"[-0.8000000000000007,0.0,0.8000000000000007,-0.8000000000000007,0.8000000000000007,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",6.661338147750939e-16,6.217248937900877e-15,0.0,3.885780586188048e-16,0.3999840000000001,0.0,0,True,primary,202607300200,8000
network-phase-closure-20260728,1.0,critical,临界扩散,2,1.0,400,0.4,0->2->3,3->2->0,9c33779843be259fdd223fb472500f69bd1f830a187c98720c950745f52fe8b9,0.049,2.220446049250313e-16,0.0,"[-0.8000000000000007,0.0,0.8000000000000007,-0.8000000000000007,0.8000000000000007,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",6.661338147750939e-16,1.176836406102666e-14,0.0,2.220446049250313e-16,0.3999960000000001,0.0,0,True,primary,202607300400,8000
network-phase-closure-20260728,1.0,fair,公平扩散,3,2.0,25,0.4,0->2->3,3->2->0,a45de457dbe4f8e2d8d84854271d589dc0c4dc08ae176d03d1fa9ae90b9409cb,0.04936,2.220446049250313e-16,0.0,"[-0.800000000000002,0.0,0.800000000000002,-0.800000000000002,0.800000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.9984014443252818e-15,8.673617379884035e-15,0.0,1.6653345369377348e-16,0.3999983616000001,0.0,0,True,primary,202607310025,8000
network-phase-closure-20260728,1.0,fair,公平扩散,3,2.0,50,0.4,0->2->3,3->2->0,8ca8bb8eccbc27ffc71daacf1bc5ddd292228f91d1015500df1d5236b2150739,0.04984,2.220446049250313e-16,0.0,"[-0.800000000000002,0.0,0.800000000000002,-0.800000000000002,0.800000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.9984014443252818e-15,1.7141843500212417e-13,0.0,2.220446049250313e-16,0.39999989759999977,0.0,0,True,primary,202607310050,8000
network-phase-closure-20260728,1.0,fair,公平扩散,3,2.0,100,0.4,0->2->3,3->2->0,305bf63d76345d63fc1a62dc75073e1d0c6972f07b33e6f79b89cfa3b7fdb0f9,0.049960000000000004,2.220446049250313e-16,0.0,"[-0.7999999999999674,0.0,0.7999999999999674,-0.7999999999999674,0.7999999999999674,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",3.26405569239796e-14,5.877520692365579e-13,0.0,3.885780586188048e-16,0.39999999360000016,0.0,0,True,primary,202607310100,8000
network-phase-closure-20260728,1.0,fair,公平扩散,3,2.0,200,0.4,0->2->3,3->2->0,0b19f09a5dfdbd8083a00d35f60f6fa02b77afc21e555d30424a084bd8afe028,0.04999,2.220446049250313e-16,0.0,"[-0.800000000000245,0.0,0.800000000000245,-0.800000000000245,0.800000000000245,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",2.4491519923230953e-13,1.9102497361700443e-12,5.551115123125783e-17,1.1102230246251565e-16,0.3999999996,0.0,0,True,primary,202607310200,8000
network-phase-closure-20260728,1.0,fair,公平扩散,3,2.0,400,0.4,0->2->3,3->2->0,6cf1fa5366c47d896f5ffc8b868b839f3c7c3b41c49b95b5e1d1352545ad3ac7,0.0499975,2.220446049250313e-16,0.0,"[-0.8000000000008001,0.0,0.8000000000008001,-0.8000000000008001,0.8000000000008001,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",8.000267115448878e-13,7.461364859295827e-12,0.0,5.551115123125783e-17,0.39999999997499996,0.0,0,True,primary,202607310400,8000
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,25,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,replication,202608280025,8000
