experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,replication,zero,,200,202608280200,4,200,36744.425,0.9186106250000001
network-phase-closure-20260728,replication,zero,,200,202608280200,5,200,39654.535,0.991363375
network-phase-closure-20260728,replication,zero,,200,202608280200,6,200,39297.32,0.982433
network-phase-closure-20260728,replication,zero,,200,202608280200,7,200,37418.145,0.935453625
network-phase-closure-20260728,replication,zero,,200,202608280200,8,200,37224.965,0.9306241249999999
network-phase-closure-20260728,replication,zero,,200,202608280200,9,200,37862.4,0.9465600000000001
network-phase-closure-20260728,replication,zero,,200,202608280200,10,200,39711.995,0.9927998750000001
network-phase-closure-20260728,replication,zero,,200,202608280200,11,200,37665.23,0.9416307500000001
network-phase-closure-20260728,replication,zero,,200,202608280200,12,200,41153.505,1.028837625
network-phase-closure-20260728,replication,zero,,200,202608280200,13,200,37966.135,0.9491533750000001
network-phase-closure-20260728,replication,zero,,200,202608280200,14,200,41085.885,1.0271471250000002
network-phase-closure-20260728,replication,zero,,200,202608280200,15,200,38310.085,0.957752125
network-phase-closure-20260728,replication,zero,,200,202608280200,16,200,39110.135,0.977753375
network-phase-closure-20260728,replication,zero,,200,202608280200,17,200,40512.205,1.012805125
network-phase-closure-20260728,replication,zero,,200,202608280200,18,200,37524.695,0.938117375
network-phase-closure-20260728,replication,zero,,200,202608280200,19,200,37456.13,0.9364032499999999
network-phase-closure-20260728,replication,zero,,200,202608280200,20,200,40093.03,1.00232575
network-phase-closure-20260728,replication,zero,,200,202608280200,21,200,39258.24,0.981456
network-phase-closure-20260728,replication,zero,,200,202608280200,22,200,36455.61,0.9113902500000001
network-phase-closure-20260728,replication,zero,,200,202608280200,23,200,38632.21,0.96580525
network-phase-closure-20260728,replication,zero,,200,202608280200,24,200,40935.935,1.023398375
network-phase-closure-20260728,replication,zero,,200,202608280200,25,200,38878.46,0.9719614999999999
network-phase-closure-20260728,replication,zero,,200,202608280200,26,200,38546.67,0.9636667499999999
network-phase-closure-20260728,replication,zero,,200,202608280200,27,200,38078.83,0.9519707500000001
network-phase-closure-20260728,replication,zero,,200,202608280200,28,200,41893.41,1.0473352500000002
network-phase-closure-20260728,replication,zero,,200,202608280200,29,200,37783.56,0.9445889999999999
network-phase-closure-20260728,replication,zero,,200,202608280200,30,200,36556.16,0.913904
network-phase-closure-20260728,replication,zero,,200,202608280200,31,200,39825.705,0.995642625
network-phase-closure-20260728,replication,zero,,200,202608280200,32,200,37452.655,0.936316375
network-phase-closure-20260728,replication,zero,,200,202608280200,33,200,37318.87,0.9329717500000001
network-phase-closure-20260728,replication,zero,,200,202608280200,34,200,37636.695,0.940917375
network-phase-closure-20260728,replication,zero,,200,202608280200,35,200,36082.49,0.90206225
network-phase-closure-20260728,replication,zero,,200,202608280200,36,200,40359.115,1.008977875
network-phase-closure-20260728,replication,zero,,200,202608280200,37,200,35698.785,0.892469625
network-phase-closure-20260728,replication,zero,,200,202608280200,38,200,40816.985,1.020424625
network-phase-closure-20260728,replication,zero,,200,202608280200,39,200,38946.15,0.97365375
network-phase-closure-20260728,replication,zero,,400,202608280400,0,200,142768.255,0.8923015937500001
network-phase-closure-20260728,replication,zero,,400,202608280400,1,200,150954.595,0.94346621875
network-phase-closure-20260728,replication,zero,,400,202608280400,2,200,159412.005,0.99632503125
network-phase-closure-20260728,replication,zero,,400,202608280400,3,200,151503.865,0.94689915625
network-phase-closure-20260728,replication,zero,,400,202608280400,4,200,156529.055,0.97830659375
network-phase-closure-20260728,replication,zero,,400,202608280400,5,200,156110.09,0.9756880625
network-phase-closure-20260728,replication,zero,,400,202608280400,6,200,150794.025,0.9424626562499999
network-phase-closure-20260728,replication,zero,,400,202608280400,7,200,150733.27,0.9420829374999999
network-phase-closure-20260728,replication,zero,,400,202608280400,8,200,162792.0,1.01745
network-phase-closure-20260728,replication,zero,,400,202608280400,9,200,156819.175,0.9801198437499999
network-phase-closure-20260728,replication,zero,,400,202608280400,10,200,151776.215,0.9486013437499999
network-phase-closure-20260728,replication,zero,,400,202608280400,11,200,148999.28,0.9312455
network-phase-closure-20260728,replication,zero,,400,202608280400,12,200,154314.555,0.9644659687499999
network-phase-closure-20260728,replication,zero,,400,202608280400,13,200,160338.765,1.00211728125
network-phase-closure-20260728,replication,zero,,400,202608280400,14,200,145257.28,0.9078579999999999
network-phase-closure-20260728,replication,zero,,400,202608280400,15,200,152192.92,0.9512057500000001
network-phase-closure-20260728,replication,zero,,400,202608280400,16,200,155405.935,0.97128709375
network-phase-closure-20260728,replication,zero,,400,202608280400,17,200,155245.785,0.97028615625
network-phase-closure-20260728,replication,zero,,400,202608280400,18,200,155754.045,0.9734627812500001
network-phase-closure-20260728,replication,zero,,400,202608280400,19,200,157314.975,0.9832185937500001
