experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,primary,zero,,100,202607280100,37,200,9929.615,0.9929614999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,38,200,9428.78,0.9428780000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,39,200,9882.11,0.9882110000000001
network-phase-closure-20260728,primary,zero,,200,202607280200,0,200,40659.03,1.01647575
network-phase-closure-20260728,primary,zero,,200,202607280200,1,200,39704.865,0.992621625
network-phase-closure-20260728,primary,zero,,200,202607280200,2,200,39903.28,0.997582
network-phase-closure-20260728,primary,zero,,200,202607280200,3,200,37890.81,0.94727025
network-phase-closure-20260728,primary,zero,,200,202607280200,4,200,39655.375,0.991384375
network-phase-closure-20260728,primary,zero,,200,202607280200,5,200,38763.685,0.969092125
network-phase-closure-20260728,primary,zero,,200,202607280200,6,200,38327.815,0.9581953750000001
network-phase-closure-20260728,primary,zero,,200,202607280200,7,200,42299.425,1.057485625
network-phase-closure-20260728,primary,zero,,200,202607280200,8,200,38109.18,0.9527295
network-phase-closure-20260728,primary,zero,,200,202607280200,9,200,37173.26,0.9293315000000001
network-phase-closure-20260728,primary,zero,,200,202607280200,10,200,39402.645,0.9850661249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,11,200,42329.185,1.0582296249999998
network-phase-closure-20260728,primary,zero,,200,202607280200,12,200,35312.845,0.882821125
network-phase-closure-20260728,primary,zero,,200,202607280200,13,200,42153.965,1.053849125
network-phase-closure-20260728,primary,zero,,200,202607280200,14,200,39751.885,0.9937971250000001
network-phase-closure-20260728,primary,zero,,200,202607280200,15,200,37708.975,0.942724375
network-phase-closure-20260728,primary,zero,,200,202607280200,16,200,39400.365,0.9850091249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,17,200,40786.525,1.0196631250000001
network-phase-closure-20260728,primary,zero,,200,202607280200,18,200,39778.78,0.9944695
network-phase-closure-20260728,primary,zero,,200,202607280200,19,200,39317.135,0.9829283750000001
network-phase-closure-20260728,primary,zero,,200,202607280200,20,200,35806.105,0.895152625
network-phase-closure-20260728,primary,zero,,200,202607280200,21,200,39645.855,0.9911463750000001
network-phase-closure-20260728,primary,zero,,200,202607280200,22,200,39267.475,0.981686875
network-phase-closure-20260728,primary,zero,,200,202607280200,23,200,39855.545,0.9963886249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,24,200,36631.23,0.91578075
network-phase-closure-20260728,primary,zero,,200,202607280200,25,200,41035.975,1.025899375
network-phase-closure-20260728,primary,zero,,200,202607280200,26,200,38144.76,0.9536190000000001
network-phase-closure-20260728,primary,zero,,200,202607280200,27,200,38626.88,0.965672
network-phase-closure-20260728,primary,zero,,200,202607280200,28,200,37423.87,0.9355967500000001
network-phase-closure-20260728,primary,zero,,200,202607280200,29,200,37214.97,0.9303742500000001
network-phase-closure-20260728,primary,zero,,200,202607280200,30,200,39519.525,0.987988125
network-phase-closure-20260728,primary,zero,,200,202607280200,31,200,37605.01,0.94012525
network-phase-closure-20260728,primary,zero,,200,202607280200,32,200,38858.34,0.9714584999999999
network-phase-closure-20260728,primary,zero,,200,202607280200,33,200,37948.685,0.9487171249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,34,200,37790.48,0.9447620000000001
network-phase-closure-20260728,primary,zero,,200,202607280200,35,200,37914.945,0.9478736249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,36,200,37536.505,0.9384126249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,37,200,36612.585,0.9153146249999999
network-phase-closure-20260728,primary,zero,,200,202607280200,38,200,40792.635,1.0198158750000001
network-phase-closure-20260728,primary,zero,,200,202607280200,39,200,41608.895,1.040222375
network-phase-closure-20260728,primary,zero,,400,202607280400,0,200,158728.215,0.9920513437499999
network-phase-closure-20260728,primary,zero,,400,202607280400,1,200,156424.62,0.977653875
network-phase-closure-20260728,primary,zero,,400,202607280400,2,200,162135.48,1.01334675
network-phase-closure-20260728,primary,zero,,400,202607280400,3,200,150771.075,0.94231921875
network-phase-closure-20260728,primary,zero,,400,202607280400,4,200,153265.285,0.95790803125
network-phase-closure-20260728,primary,zero,,400,202607280400,5,200,144073.135,0.90045709375
network-phase-closure-20260728,primary,zero,,400,202607280400,6,200,160364.12,1.00227575
network-phase-closure-20260728,primary,zero,,400,202607280400,7,200,158558.415,0.99099009375
network-phase-closure-20260728,primary,zero,,400,202607280400,8,200,150098.23,0.9381139375
network-phase-closure-20260728,primary,zero,,400,202607280400,9,200,157240.035,0.98275021875
network-phase-closure-20260728,primary,zero,,400,202607280400,10,200,164878.295,1.03048934375
network-phase-closure-20260728,primary,zero,,400,202607280400,11,200,141382.22,0.883638875
network-phase-closure-20260728,primary,zero,,400,202607280400,12,200,169019.005,1.05636878125
network-phase-closure-20260728,primary,zero,,400,202607280400,13,200,160209.105,1.00130690625
network-phase-closure-20260728,primary,zero,,400,202607280400,14,200,155464.16,0.971651
network-phase-closure-20260728,primary,zero,,400,202607280400,15,200,145354.69,0.9084668125
network-phase-closure-20260728,primary,zero,,400,202607280400,16,200,152147.26,0.950920375
network-phase-closure-20260728,primary,zero,,400,202607280400,17,200,157864.6,0.98665375
network-phase-closure-20260728,primary,zero,,400,202607280400,18,200,156183.16,0.97614475
network-phase-closure-20260728,primary,zero,,400,202607280400,19,200,144149.675,0.90093546875
network-phase-closure-20260728,primary,zero,,400,202607280400,20,200,140069.3,0.8754331249999999
network-phase-closure-20260728,primary,zero,,400,202607280400,21,200,157400.77,0.9837548125
network-phase-closure-20260728,primary,zero,,400,202607280400,22,200,161017.29,1.0063580625000002
network-phase-closure-20260728,primary,zero,,400,202607280400,23,200,154053.235,0.9628327187499999
network-phase-closure-20260728,primary,zero,,400,202607280400,24,200,158250.99,0.9890686875
network-phase-closure-20260728,primary,zero,,400,202607280400,25,200,168013.675,1.0500854687499999
network-phase-closure-20260728,primary,zero,,400,202607280400,26,200,158325.02,0.9895313749999999
network-phase-closure-20260728,primary,zero,,400,202607280400,27,200,158696.73,0.9918545625
network-phase-closure-20260728,primary,zero,,400,202607280400,28,200,157302.2,0.9831387500000001
network-phase-closure-20260728,primary,zero,,400,202607280400,29,200,152224.485,0.9514030312499999
network-phase-closure-20260728,primary,zero,,400,202607280400,30,200,148742.25,0.9296390625
network-phase-closure-20260728,primary,zero,,400,202607280400,31,200,152949.215,0.95593259375
network-phase-closure-20260728,primary,zero,,400,202607280400,32,200,156799.665,0.97999790625
network-phase-closure-20260728,primary,zero,,400,202607280400,33,200,153643.985,0.9602749062499999
network-phase-closure-20260728,primary,zero,,400,202607280400,34,200,152211.035,0.95131896875
network-phase-closure-20260728,primary,zero,,400,202607280400,35,200,154883.385,0.9680211562500001
network-phase-closure-20260728,primary,zero,,400,202607280400,36,200,154902.26,0.9681391250000001
network-phase-closure-20260728,primary,zero,,400,202607280400,37,200,143024.055,0.8939003437499999
network-phase-closure-20260728,primary,zero,,400,202607280400,38,200,145305.475,0.90815921875
network-phase-closure-20260728,primary,zero,,400,202607280400,39,200,148932.905,0.9308306562499999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,0,200,1142.265,0.9138120000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,1,200,1122.555,0.8980440000000001
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,2,200,1118.57,0.894856
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,3,200,1100.77,0.880616
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,4,200,1124.625,0.8997
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,5,200,1118.215,0.8945719999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,6,200,1100.215,0.880172
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,7,200,1074.435,0.859548
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,8,200,1123.76,0.899008
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,9,200,1066.84,0.8534719999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,10,200,1102.245,0.8817959999999999
network-phase-closure-20260728,primary,drift,0.5,100,202607290100,11,200,1087.86,0.870288
