cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass
2020-10-14-primary-hotspot-N80,2020-10-14,primary,hotspot,80,202607230013,202607240013,20000,20000,40000,500,80,0.0008268476562500002,0.0017441145495085922,3.405199776924186,-0.005112210818666885,0.006765906131166885,0.005939058474916885,0.03,True
2020-10-14-primary-uniform-N10,2020-10-14,primary,uniform,10,202607230000,202607240000,20000,20000,40000,500,80,0.011715500000000004,0.006110730704561517,3.405199776924186,-0.009092758832016646,0.03252375883201665,0.02080825883201665,0.03,True
2020-10-14-primary-uniform-N20,2020-10-14,primary,uniform,20,202607230001,202607240001,20000,20000,40000,500,80,0.005452,0.0061133409031737885,3.405199776924186,-0.015365147079748885,0.026269147079748888,0.020817147079748886,0.03,True
2020-10-14-primary-uniform-N40,2020-10-14,primary,uniform,40,202607230002,202607240002,20000,20000,40000,500,80,-2.4687499999998323e-05,0.005386885800682848,3.405199776924186,-0.018368109826801298,0.0183187348268013,0.0183434223268013,0.03,True
2020-10-14-primary-uniform-N80,2020-10-14,primary,uniform,80,202607230003,202607240003,20000,20000,40000,500,80,0.014381042968749999,0.006350124018617593,3.405199776924186,-0.0072423979228875435,0.03600448386038754,0.021623440891637542,0.03,True
2022-05-31-hub-hotspot-N10,2022-05-31,hub,hotspot,10,202607231110,202607241110,20000,20000,40000,500,80,-0.011498999999999999,0.005114371521828575,3.405199776924186,-0.02891445676523807,0.005916456765238071,0.01741545676523807,0.03,True
2022-05-31-hub-hotspot-N20,2022-05-31,hub,hotspot,20,202607231111,202607241111,20000,20000,40000,500,80,-0.0114419375,0.005051300771262224,3.405199776924186,-0.028642625759479096,0.0057587507594790924,0.017200688259479093,0.03,True
2022-05-31-hub-hotspot-N40,2022-05-31,hub,hotspot,40,202607231112,202607241112,20000,20000,40000,500,80,-0.016174390625,0.003377462994932282,3.405199776924186,-0.0276753268619131,-0.0046734543880869,0.0115009362369131,0.03,True
2022-05-31-hub-hotspot-N80,2022-05-31,hub,hotspot,80,202607231113,202607241113,20000,20000,40000,500,80,-0.0056379921875,0.0016585898997669372,3.405199776924186,-0.011285822144195084,9.837769195082148e-06,0.005647829956695083,0.03,True
2022-05-31-hub-uniform-N10,2022-05-31,hub,uniform,10,202607231100,202607241100,20000,20000,40000,500,80,0.008900000000000002,0.006209609896224651,3.405199776924186,-0.0122449622334104,0.030044962233410404,0.021144962233410402,0.03,True
2022-05-31-hub-uniform-N20,2022-05-31,hub,uniform,20,202607231101,202607241101,20000,20000,40000,500,80,0.0074748125,0.006323723072086153,3.405199776924186,-0.014058727894398094,0.029008352894398095,0.021533540394398094,0.03,True
2022-05-31-hub-uniform-N40,2022-05-31,hub,uniform,40,202607231102,202607241102,20000,20000,40000,500,80,-0.0017027031249999985,0.005678924240234853,3.405199776924186,-0.021040574681017072,0.017635168431017072,0.019337871556017072,0.03,True
2022-05-31-hub-uniform-N80,2022-05-31,hub,uniform,80,202607231103,202607241103,20000,20000,40000,500,80,-0.0004484218749999993,0.00547411665451584,3.405199776924186,-0.01908888268581431,0.01819203893581431,0.01864046081081431,0.03,True
2022-05-31-primary-hotspot-N10,2022-05-31,primary,hotspot,10,202607231010,202607241010,20000,20000,40000,500,80,-0.0036457499999999997,0.005490616819857309,3.405199776924186,-0.022342397170154293,0.015050897170154294,0.018696647170154294,0.03,True
2022-05-31-primary-hotspot-N20,2022-05-31,primary,hotspot,20,202607231011,202607241011,20000,20000,40000,500,80,-0.01608525,0.005254312064218892,3.405199776924186,-0.03397723226896823,0.0018067322689682315,0.01789198226896823,0.03,True
