cell_id,k,N,p_bias,seed,repetitions,blocks,paths_per_block,comparisons,censored_count,mean_stopping_time,sd_stopping_time,tstar,theory_correction_coefficient,scaled_correction,correction_ratio,block_correction_ratios,block_standard_error,simultaneous_critical,simultaneous_half_width,simultaneous_ci_low,simultaneous_ci_high,precision_gate_applicable,precision_gate_pass,local_proxy_scaled_absolute_error_mean,local_proxy_scaled_absolute_error_median,local_proxy_scaled_absolute_error_q90,scaled_correction_q10,scaled_correction_q25,scaled_correction_q50,scaled_correction_q75,scaled_correction_q90,gaussian_reference_q10,gaussian_reference_q25,gaussian_reference_q50,gaussian_reference_q75,gaussian_reference_q90,quantile_difference_q10,quantile_difference_q25,quantile_difference_q50,quantile_difference_q75,quantile_difference_q90,reference_seed,reference_sample_size
k3-p2-N40,3,40,2.0,72938585276,20000,40,500,36,0,101.744,12.624731014625999,120.0,2.93161507141752,2.8865270482016965,0.9846200738782453,"[1.0048992778538275,1.052684848923948,1.0055464864913461,0.9926023137409742,0.9545248722336317,0.958947464590009,0.9710286924903558,0.9855908868345233,1.0281987888044952,0.9730781865091644,0.9367266347018712,0.9646644742214227,0.9785794599280724,0.9970249060973516,0.931225361282964,0.947405577220928,0.9446010064583472,1.023991932660625,0.9645566061151699,1.0333764579046438,0.9948675439722893,0.9758827572717446,0.9842964695594862,0.9659588914964599,1.046644234973775,0.9912000283596842,1.030895491460823,0.9285286586266361,0.9626149802026142,0.9893662705533812,0.9695185390028122,1.054518606730251,1.0053307502788396,0.9255083516515495,0.9677926493027628,0.9757748891654917,1.0329449854796318,0.9387761287206807,1.0052228821725868,0.989905611084647]",0.005481924547681353,3.442754621134846,0.01887292106924253,0.9657471528090028,1.0034929949474878,True,True,1.1004014744912423,0.7905694150420948,2.3717082451262845,0.4743416490252569,1.4230249470757705,2.687936011143122,4.269074841227312,5.533985905294664,-0.023473600445974824,1.0985565627126754,2.5976975626108123,4.451045552306753,6.363296038817425,0.4978152494712317,0.3244683843630951,0.09023844853230978,-0.1819707110794413,-0.8293101335227613,2026071814,2000000
k3-p2-N80,3,80,2.0,72938585277,20000,40,500,36,0,213.98655,19.177725578269644,240.0,2.93161507141752,2.9083921264645953,0.9920784467308336,"[0.9921756964243249,0.9847008180226042,1.018566593638564,0.9846245437531997,1.073026421993958,0.9512926880230765,1.03099929955163,0.9558691441873957,1.020549724643102,1.0167360111728363,0.9750902600775354,0.959911680465877,1.0348892872913011,0.972802031995376,0.9519028821783198,1.0245159866521787,1.0330587048255733,0.9920994221549204,0.9349699943703395,1.0202446275654813,0.9911078566526509,0.9850059151002258,0.9539622874522633,0.9632677483197116,1.0001082204424776,0.9467925061281632,1.031838316515089,1.0647888008981838,1.018337770830348,1.025507552154447,0.9680730272922455,1.00659153334193,0.9243678709230011,1.0323722364009256,1.0079644701912256,0.923300031151327,0.9657847992100871,0.9727257577259701,0.9946164730452959,0.9785988764701794]",0.005748809982422573,3.442754621134846,0.019791742133011447,0.9722867045978221,1.011870188863845,True,True,0.9298017864039626,0.6708203932499369,2.1242645786248002,0.33541019662496846,1.3416407864998738,2.795084971874737,4.36033255612459,5.813776741499453,-0.023473600445974824,1.0985565627126754,2.5976975626108123,4.451045552306753,6.363296038817425,0.3588837970709433,0.2430842237871984,0.1973874092639245,-0.09071299618216333,-0.5495192973179721,2026071814,2000000
k4-p1.25-N160,4,160,1.25,72938585282,20000,40,500,36,0,2887.6381,477.64095529225574,3840.0,81.24330003087692,75.29081901913779,0.9267326535298682,"[0.9290545406030363,0.920641215245922,0.9236032974095882,0.954277001076827,0.9228287187623218,0.9159548198122117,0.930268955366589,0.8935835093842621,0.9417338870526305,0.9369385056786013,0.951530944616293,0.8955024404048764,0.9431993587144182,0.9219626697722881,0.9408133450924375,0.946052454937765,0.8879434869727619,0.9125859865498559,0.9194151234173352,0.9127864428329424,0.9539286353033076,0.9072067519241181,0.8996341752494641,0.9377383846334415,0.926010718984131,0.9579280300775083,0.8917910799015186,0.9235118270668206,0.92679308234142,0.9319796453940937,0.9161513837402866,0.9657769639579709,0.935786368595231,0.9349397813802539,0.9388691137642493,0.916879254127416,0.9105230383938205,0.9119456941504828,0.9531832493186269,0.9280522591876037]",0.0030184445325193675,3.442754621134846,0.010391763862970263,0.916340889666898,0.9371244173928385,True,True,28.71961597298961,22.294057504187073,62.37592684682128,26.642189286918594,49.33153149862672,75.0250374874948,101.11382818388392,124.59373981063413,17.284807175057733,43.3365734500836,76.15674663368057,113.85096167196636,151.9223767326655,9.357382111860861,5.994958048543118,-1.13170914618577,-12.737133488082435,-27.328636922031365,2026071814,2000000
k4-p1.25-N320,4,320,1.25,72938585283,20000,40,500,36,0,6282.50145,749.9592379861919,7680.0,81.24330003087692,78.12254390643471,0.9615875263159406,"[0.9830193906971587,0.9691697636405248,0.9727147397233834,0.9643463392731256,0.9138441916455058,0.9800028582539809,0.9744280530864109,0.9827689304304355,0.9422232664827386,0.9263658288263801,0.9537444387520299,0.941178764601182,0.9749055789795602,0.9760395309563753,0.9801514830276413,0.9907396219956206,0.9385131517624797,0.9771390790503987,0.9242520542676567,0.9841836180908305,0.9506246946604764,0.9738665817192501,0.9577573076408554,0.9411223422334041,0.9775010078973674,0.9559105072125959,0.956564180985639,0.9479398156474107,0.9675417719068204,0.9709697747881874,0.9657128614976125,0.9816583730939182,0.9036234861457418,0.9259130737288408,0.9764771483454856,0.9350177172708412,0.9870515257603486,0.9867405146599113,0.9996942646086494,0.9520834192908452]",0.003612818568228205,3.442754621134846,0.01243804782108943,0.9491494784948511,0.9740255741370301,True,True,24.771901752260217,19.23018460649819,54.05694335605741,24.76445285081017,49.08169210612038,77.14434522374275,106.2691306306775,133.26965145898745,17.284807175057733,43.3365734500836,76.15674663368057,113.85096167196636,151.9223767326655,7.479645675752437,5.74511865603678,0.9875985900621771,-7.581831041288865,-18.652725273678044,2026071814,2000000
k4-p1.25-N40,4,40,1.25,72938585280,20000,40,500,36,0,534.62245,163.4475474304694,960.0,81.24330003087692,67.25809617510788,0.8278602192371075,"[0.8367123103128803,0.7902298067668915,0.8322555638248416,0.8194380387723428,0.8378333085561598,0.8177682184724575,0.8398184096119675,0.8208120400913625,0.8432397896669769,0.8305857435249565,0.8417451253426042,0.840125905657867,0.8303872334193758,0.822162687280314,0.8323334109250695,0.8033548278652897,0.8526553964395234,0.8450886582973862,0.7892061173988965,0.8271020857897647,0.8322555638248416,0.837070406973928,0.7911211560644992,0.8442595866799605,0.8216060805136856,0.8262340906222254,0.8131518854289521,0.8466300308818956,0.7966638696007148,0.8310333643512661,0.8449524258719875,0.858941549782914,0.825988872256508,0.8223456279658492,0.8298306266527472,0.8291416798157315,0.8346415774468221,0.8057174873572021,0.8250585994087862,0.8449096099668624]",0.0026651264008007353,3.442754621134846,0.009175376232265211,0.8186848430048423,0.8370355954693727,True,True,36.46367820650521,28.77672670753225,77.95014432315054,33.04580154875956,51.03125574096722,69.41199464069592,85.8558384735715,99.29551852928711,17.284807175057733,43.3365734500836,76.15674663368057,113.85096167196636,151.9223767326655,15.76099437370183,7.69468229088362,-6.7447519929846464,-27.995123198394865,-52.62685820337839,2026071814,2000000
k4-p1.25-N80,4,80,1.25,72938585281,20000,40,500,36,0,1278.30205,287.39846347821344,1920.0,81.24330003087692,71.74401186111307,0.8830760423794501,"[0.8635842473527396,0.8996863057990577,0.9012551228543598,0.8428951283971114,0.8991303390531434,0.8892495439153616,0.8548759365404994,0.9043349584418746,0.8870807231441716,0.8317840504106979,0.8605924857051716,0.8992569453418169,0.8700824527344395,0.9158533784005422,0.8606888165769886,0.9112872950764254,0.8805467377243684,0.9057606553447635,0.906335888265041,0.897390878739194,0.8838550150936201,0.8767540536854096,0.9066854317142049,0.8622576336322907,0.9073267200894425,0.8502905870420193,0.8796797598780174,0.8730769666926306,0.8824981259563149,0.8716320036153784,0.892742226096377,0.8793137025651133,0.8916578157107822,0.8996587826928243,0.9088542524853949,0.8480584631264926,0.8968486735463965,0.9060138679221105,0.8613493711265895,0.8628163526888285]",0.0034201282746460604,3.442754621134846,0.011774662422411672,0.8713013799570385,0.8948507048018618,True,True,32.24987488109886,25.26756814574762,69.20630390361849,29.516097302997224,50.31152949374527,72.67220926874316,94.02665845386615,113.14503966148935,17.284807175057733,43.3365734500836,76.15674663368057,113.85096167196636,151.9223767326655,12.231290127939491,6.97495604366167,-3.4845373649374096,-19.824303218100212,-38.77733707117615,2026071814,2000000
k4-p1.5-N160,4,160,1.5,72938585286,20000,40,500,36,0,1575.40755,183.02025017357008,1920.0,28.72384418890316,27.242425162442224,0.9484254608568985,"[0.9406351832530727,0.9749069551348714,0.9314424657711258,0.9510774497580156,0.9413783071213739,0.9277378556721135,0.9747308072549782,0.9458370503311809,0.9288883215126682,0.9399691240822252,0.9316241182722661,0.9385379225580898,0.9751436538484785,0.9601270470875494,0.9174662324258179,0.9185231197051795,0.9696225187380638,0.9923731183505713,0.9467067804881557,0.945104935705373,1.0048796178230173,0.9426829023568363,0.957424278055432,0.9407342664355131,0.9625105480873596,0.9292791496211823,0.9402223366595727,0.9134478589157451,0.9352406544313312,0.9536591171227058,0.8895853258114088,0.9502077196010409,0.9951584567013887,0.9166020068900899,0.9537416864414059,0.9301653936418973,0.9447086029756123,0.9479453202686571,0.9936446858585531,0.9833455395060243]",0.003912845726862615,3.442754621134846,0.013470967707944004,0.9349544931489545,0.9618964285648425,True,True,8.61573221199978,6.719840027857805,18.815552078001854,9.01249133147988,17.155356306413456,26.721246228422803,36.91959168246583,46.40642466297096,6.466340969178701,15.455148147424275,26.872603648677785,40.06497068063369,53.43835227180033,2.54615036230118,1.7002081589891809,-0.1513574202549819,-3.145378998167864,-7.0319276088293705,2026071814,2000000
k4-p1.5-N320,4,320,1.5,72938585287,20000,40,500,36,0,3342.28935,282.02720346404914,3840.0,28.72384418890316,27.822871163140142,0.9686332713742024,"[0.9716485814926494,0.9838082985482229,0.9641674751607626,0.983851114453349,0.943464038855192,0.9174241838290107,0.9856688442436664,0.9802390090027809,0.9811576047854689,0.9888605753530039,0.9484812844648712,0.9793515520601844,0.9631476781477785,0.9205224984180744,0.9769071531130333,0.9461536561680608,0.9377850928935784,0.9409534698728472,0.9291129259282068,0.9410235322630522,0.986529054701183,0.995633273072818,0.9789662089140573,0.9683128332478895,0.9997163534797634,0.9656115388699869,0.9898570182359194,0.9627662273566626,0.9634240353535874,0.9738360850090487,1.019333822737157,1.0105020692163187,0.9703329654987997,0.9737893767489123,0.9499097787540504,0.9875955599743037,0.9709012493304628,0.969157474285361,0.9482944514243246,0.9771329097036938]",0.0036201090825405506,3.442754621134846,0.012463147272928708,0.9561701241012737,0.9810964186471312,True,True,7.545373807850431,5.813776741499453,16.54690303349844,7.988352849618003,16.65870643237343,27.056422527747454,38.180860715808905,48.80218360893291,6.466340969178701,15.455148147424275,26.872603648677785,40.06497068063369,53.43835227180033,1.5220118804393028,1.2035582849491568,0.1838188790696691,-1.8841099648247877,-4.636168662867426,2026071814,2000000
k4-p1.5-N40,4,40,1.5,72938585284,20000,40,500,36,0,318.8788,70.68691139477043,480.0,28.72384418890316,25.475498566976075,0.8869111808097742,"[0.900357869591152,0.9158919107492689,0.8667466522589544,0.8696751107621854,0.8896568858876157,0.8631686484486155,0.8602511991878778,0.9131396001259313,0.904640464921065,0.8802990297682682,0.8862990669271439,0.8812458246226962,0.8783834215744253,0.8795173735512404,0.8896789043726024,0.8882477028484667,0.8478547921403656,0.9126662026987172,0.8887981649731344,0.8797265491586138,0.9336278004060556,0.9171359551510175,0.8656787557370994,0.8661081161943399,0.9001707124687648,0.8691466671225045,0.9073927755444025,0.8574658608370601,0.8973633556329605,0.9051468900757593,0.8870036584467181,0.890955976501831,0.8994330932217106,0.9151873192296943,0.8826660169043384,0.8816641758374436,0.8797375584011072,0.8725044860829765,0.8742219279119388,0.877590756114904]",0.003015983625888161,3.442754621134846,0.010383291565293495,0.8765278892444807,0.8972944723750677,True,True,11.412865623595591,8.854377448471462,24.50765186630494,10.751744044572488,18.02498266295976,25.77256293037229,33.3620293147764,39.68658463511316,6.466340969178701,15.455148147424275,26.872603648677785,40.06497068063369,53.43835227180033,4.285403075393788,2.5698345155354865,-1.1000407183054968,-6.702941365857292,-13.751767636687177,2026071814,2000000
k4-p1.5-N80,4,80,1.5,72938585285,20000,40,500,36,0,722.3237,116.86279418165216,960.0,28.72384418890316,26.573018172031663,0.9251205373930269,"[0.9286069197767265,0.922153395167846,0.9273380120430141,0.9409612545828703,0.910460760713638,0.9516107378940262,0.957643888161677,0.9283422396359522,0.9360802413985903,0.9455075252361709,0.9336514118714849,0.8994220419013432,0.9265439716206912,0.9046767211667164,0.9072923837343688,0.928653628036863,0.9302261394614639,0.92191206915714,0.9359790401682944,0.9117296684473505,0.9096122273211558,0.9288171069473413,0.9339316614323047,0.9319387756664742,0.9087481245086279,0.9220677633575958,0.894556598137109,0.9255397440277532,0.966487318747549,0.9513771965933432,0.9158399953393758,0.9203239883124938,0.9209467651143162,0.8849580506790274,0.9257732853284367,0.92488582838584,0.9185724285573699,0.9287081210070224,0.9196934268006495,0.9232510392810575]",0.0025861805069142567,3.442754621134846,0.008903584891267916,0.9162169525017589,0.9340241222842949,True,True,9.993669792179698,7.826237921249263,21.578055982872968,10.062305898749052,17.66493702224834,26.385602134497518,35.55348084224666,43.603325561245896,6.466340969178701,15.455148147424275,26.872603648677785,40.06497068063369,53.43835227180033,3.5959649295703517,2.2097888748240635,-0.4870015141802675,-4.511489838387035,-9.835026710554438,2026071814,2000000
